time_ms,open,high,low,close,volume,turnover,time
1735384500000,0.8695,0.8733,0.8693,0.873,732462,638534.2766,2024-12-28 11:15:00
1735385400000,0.873,0.8738,0.871,0.8726,1658792,1447448.5258,2024-12-28 11:30:00
1735386300000,0.8726,0.8751,0.8705,0.8737,1402263,1223791.3161,2024-12-28 11:45:00
1735387200000,0.8737,0.8747,0.8715,0.8739,1125115,982615.2543,2024-12-28 12:00:00
1735388100000,0.8739,0.8743,0.8693,0.8696,1000261,871632.0935,2024-12-28 12:15:00
1735389000000,0.8696,0.872,0.869,0.8696,1093913,951959.2569,2024-12-28 12:30:00
1735389900000,0.8696,0.8702,0.8665,0.8677,909896,789908.4268,2024-12-28 12:45:00
1735390800000,0.8677,0.8726,0.8673,0.8707,924292,804394.6099,2024-12-28 13:00:00
1735391700000,0.8707,0.8749,0.8703,0.8734,1208440,1055554.6151,2024-12-28 13:15:00
1735392600000,0.8734,0.8778,0.872,0.8726,2443090,2138095.571,2024-12-28 13:30:00
1735393500000,0.8726,0.8768,0.87,0.8766,1737698,1517652.7817,2024-12-28 13:45:00
1735394400000,0.8766,0.8849,0.8764,0.8846,3739550,3292722.7193,2024-12-28 14:00:00
1735395300000,0.8846,0.892,0.883,0.8831,6726960,5975403.8192,2024-12-28 14:15:00
1735396200000,0.8831,0.8856,0.8779,0.8788,5074211,4479773.8455,2024-12-28 14:30:00
1735397100000,0.8788,0.8814,0.8747,0.8792,2199958,1929968.152,2024-12-28 14:45:00
1735398000000,0.8792,0.8881,0.879,0.883,5200716,4592630.4542,2024-12-28 15:00:00
1735398900000,0.883,0.8867,0.8814,0.8846,1809631,1601066.3035,2024-12-28 15:15:00
1735399800000,0.8846,0.8863,0.8794,0.8802,1335320,1178503.8565,2024-12-28 15:30:00
1735400700000,0.8802,0.8806,0.8742,0.8753,2263494,1984037.2768,2024-12-28 15:45:00
1735401600000,0.8753,0.8784,0.8727,0.8735,1817803,1590512.1182,2024-12-28 16:00:00
1735402500000,0.8735,0.878,0.8728,0.8765,674457,590740.1867,2024-12-28 16:15:00
1735403400000,0.8765,0.8815,0.8759,0.8793,2014453,1772148.0635,2024-12-28 16:30:00
1735404300000,0.8793,0.8846,0.8779,0.8843,1912877,1685718.3651,2024-12-28 16:45:00
1735405200000,0.8843,0.8885,0.8813,0.8877,2920820,2584409.672,2024-12-28 17:00:00
1735406100000,0.8877,0.8938,0.8867,0.8913,3044677,2711935.9449,2024-12-28 17:15:00
1735407000000,0.8913,0.8936,0.8882,0.8891,1558786,1389240.337,2024-12-28 17:30:00
1735407900000,0.8891,0.8909,0.8876,0.8896,1009131,897638.6536,2024-12-28 17:45:00
1735408800000,0.8896,0.8912,0.8862,0.887,2004646,1780237.133,2024-12-28 18:00:00
1735409700000,0.887,0.8901,0.8858,0.8894,890389,790259.481,2024-12-28 18:15:00
