time_ms,open,high,low,close,volume,turnover,time
1735387200000,8.993,9.0165,8.9115,8.9225,224152.77,2010508.77182,2024-12-28 12:00:00
1735390800000,8.9225,9.073,8.9005,9.025,347165.52,3122544.13634,2024-12-28 13:00:00
1735394400000,9.025,9.146,8.9475,9.0015,383047.36,3468790.99435,2024-12-28 14:00:00
1735398000000,9.0015,9.095,9.0005,9.0195,200617.19,1816447.02925,2024-12-28 15:00:00
1735401600000,9.0195,9.108,9.003,9.101,155157.97,1402704.931455,2024-12-28 16:00:00
1735405200000,9.101,9.182,9.092,9.1305,268651.12,2455003.57725,2024-12-28 17:00:00
1735408800000,9.1305,9.1655,9.1165,9.1275,111057.22,1014861.225825,2024-12-28 18:00:00
1735412400000,9.1275,9.1435,9.0855,9.113,112485.94,1024563.495235,2024-12-28 19:00:00
1735416000000,9.113,9.126,9.0715,9.106,94709.55,861646.10024,2024-12-28 20:00:00
1735419600000,9.106,9.2,9.105,9.19,98439.09,901626.88182,2024-12-28 21:00:00
1735423200000,9.19,9.2685,9.1545,9.214,188642.14,1736978.328415,2024-12-28 22:00:00
1735426800000,9.214,9.225,9.162,9.187,165165.92,1518356.859655,2024-12-28 23:00:00
1735430400000,9.187,9.194,9.1155,9.144,250866.64,2294911.011195,2024-12-29 00:00:00
1735434000000,9.144,9.1885,9.0835,9.094,104109.08,949200.485,2024-12-29 01:00:00
1735437600000,9.094,9.1785,9.086,9.172,138243.28,1264110.16488,2024-12-29 02:00:00
1735441200000,9.172,9.1795,9.114,9.1685,80461.49,735650.487445,2024-12-29 03:00:00
1735444800000,9.1685,9.189,9.141,9.166,67543.76,619048.37283,2024-12-29 04:00:00
1735448400000,9.166,9.1745,9.1275,9.142,36306.74,332163.369725,2024-12-29 05:00:00
1735452000000,9.142,9.206,9.073,9.193,120133.33,1095743.660785,2024-12-29 06:00:00
1735455600000,9.193,9.223,9.1545,9.217,70205.14,645046.901315,2024-12-29 07:00:00
1735459200000,9.217,9.231,9.1115,9.1265,141030.9,1292486.584975,2024-12-29 08:00:00
1735462800000,9.1265,9.1695,9.092,9.1665,137484.71,1255461.512355,2024-12-29 09:00:00
1735466400000,9.1665,9.19,9.125,9.1305,61671.44,565074.00839,2024-12-29 10:00:00
1735470000000,9.1305,9.1425,9.06,9.07,137739.61,1253796.100545,2024-12-29 11:00:00
1735473600000,9.07,9.09,9,9.037,291123.97,2633389.11814,2024-12-29 12:00:00
1735477200000,9.037,9.103,9.0115,9.0945,161155.19,1459159.052675,2024-12-29 13:00:00
1735480800000,9.0945,9.163,8.983,9.083,321261.72,2910206.98367,2024-12-29 14:00:00
1735484400000,9.083,9.152,9.048,9.0935,185639.21,1690558.964105,2024-12-29 15:00:00
1735488000000,9.0935,9.1,8.9395,8.968,346383.41,3115391.688565,2024-12-29 16:00:00
1735491600000,8.968,9.0165,8.9205,8.9835,161791.03,1450882.67782,2024-12-29 17:00:00
1735495200000,8.9835,9,8.9215,8.956,132786.42,1189712.979505,2024-12-29 18:00:00
1735498800000,8.956,8.985,8.9295,8.9415,112739.41,1009580.19889,2024-12-29 19:00:00
1735502400000,8.9415,8.9645,8.84,8.955,318270.15,2829250.05418,2024-12-29 20:00:00
1735506000000,8.955,9.0005,8.8535,8.884,172747.24,1543403.89656,2024-12-29 21:00:00
1735509600000,8.884,8.8995,8.787,8.8235,252375.14,2230903.895695,2024-12-29 22:00:00
1735513200000,8.8235,8.91,8.793,8.8735,153512.68,1358801.731765,2024-12-29 23:00:00
1735516800000,8.8735,8.9895,8.8285,8.945,227731.01,2033214.96716,2024-12-30 00:00:00
1735520400000,8.945,9.1875,8.9405,9.144,565553.38,5133199.282975,2024-12-30 01:00:00
1735524000000,9.144,9.178,9.0425,9.1485,193214.42,1758995.715435,2024-12-30 02:00:00
1735527600000,9.1485,9.232,9.089,9.1195,222750.75,2041877.65562,2024-12-30 03:00:00
1735531200000,9.1195,9.203,9.054,9.0595,142685.92,1303585.31915,2024-12-30 04:00:00
1735534800000,9.0595,9.168,9.04,9.1535,170278.59,1550327.20786,2024-12-30 05:00:00
1735538400000,9.1535,9.3175,9.1535,9.2175,314018.44,2907235.41604,2024-12-30 06:00:00
1735542000000,9.2175,9.237,9.0955,9.155,224692.34,2055488.08228,2024-12-30 07:00:00
1735545600000,9.155,9.2425,9.1155,9.1195,157692.08,1448084.838375,2024-12-30 08:00:00
1735549200000,9.1195,9.128,9.009,9.0525,321962.92,2916328.740865,2024-12-30 09:00:00
1735552800000,9.0525,9.081,8.955,8.9595,348128.15,3138683.0819,2024-12-30 10:00:00
1735556400000,8.9595,9.0395,8.9065,9.009,283957.75,2546554.362015,2024-12-30 11:00:00
1735560000000,9.009,9.12,9.0005,9.0265,256701.47,2323315.04896,2024-12-30 12:00:00
1735563600000,9.0265,9.075,8.743,8.762,568171.74,5039451.251015,2024-12-30 13:00:00
1735567200000,8.762,8.86,8.709,8.8015,457063.4,4018696.242545,2024-12-30 14:00:00
1735570800000,8.8015,8.864,8.717,8.76,301834.57,2650918.3805,2024-12-30 15:00:00
1735574400000,8.76,8.7995,8.6645,8.7315,296568.91,2587508.922315,2024-12-30 16:00:00
1735578000000,8.7315,9.068,8.723,9.0105,412511.99,3681372.544845,2024-12-30 17:00:00
1735581600000,9.0105,9.094,8.9795,9.0695,263881.75,2386474.368745,2024-12-30 18:00:00
1735585200000,9.0695,9.105,9.045,9.0835,101724.14,922930.97987,2024-12-30 19:00:00
1735588800000,9.0835,9.136,9.0515,9.056,132800.1,1207666.064935,2024-12-30 20:00:00
1735592400000,9.056,9.0655,8.7405,8.783,671096.1,5940753.463365,2024-12-30 21:00:00
1735596000000,8.783,8.8945,8.7705,8.8485,181178.82,1601898.189515,2024-12-30 22:00:00
1735599600000,8.8485,8.888,8.7935,8.8725,129103.1,1141422.89174,2024-12-30 23:00:00
1735603200000,8.8725,8.8835,8.719,8.729,171346.53,1506757.19432,2024-12-31 00:00:00
1735606800000,8.729,8.7845,8.691,8.7595,199016.68,1739206.83139,2024-12-31 01:00:00
1735610400000,8.7595,8.7685,8.6805,8.719,165883.56,1446674.29382,2024-12-31 02:00:00
1735614000000,8.719,8.7915,8.6805,8.7275,246080.8,2152846.342575,2024-12-31 03:00:00
1735617600000,8.7275,8.805,8.6435,8.6685,219242.18,1908067.02873,2024-12-31 04:00:00
1735621200000,8.6685,8.739,8.6475,8.7055,109405.03,951503.776165,2024-12-31 05:00:00
1735624800000,8.7055,8.766,8.6665,8.707,134387.4,1171365.342065,2024-12-31 06:00:00
1735628400000,8.707,8.743,8.6805,8.707,82359.73,717534.275715,2024-12-31 07:00:00
1735632000000,8.707,8.9835,8.707,8.8475,454944.19,4034441.78976,2024-12-31 08:00:00
1735635600000,8.8475,8.9135,8.8185,8.894,125385.89,1111610.5525,2024-12-31 09:00:00
1735639200000,8.894,8.9015,8.81,8.8225,133723.33,1183517.93216,2024-12-31 10:00:00
1735642800000,8.8225,8.8795,8.806,8.8365,145624.52,1287011.886215,2024-12-31 11:00:00
