time_ms,open,high,low,close,volume,turnover,time
1735385400000,0.7573,0.7582,0.7555,0.7579,244841.6,185429.39643,2024-12-28 11:30:00
1735386300000,0.7579,0.7603,0.7567,0.7594,394973.9,299595.24282,2024-12-28 11:45:00
1735387200000,0.7594,0.7599,0.7574,0.7584,275039.3,208713.40564,2024-12-28 12:00:00
1735388100000,0.7584,0.7591,0.7543,0.7544,178394.6,134967.847,2024-12-28 12:15:00
1735389000000,0.7544,0.7581,0.7542,0.7558,226358.9,171133.0032,2024-12-28 12:30:00
1735389900000,0.7558,0.7563,0.752,0.753,287218.1,216534.31961,2024-12-28 12:45:00
1735390800000,0.753,0.7587,0.7526,0.757,339001,256376.48023,2024-12-28 13:00:00
1735391700000,0.757,0.7627,0.7569,0.7608,658739.2,500941.49582,2024-12-28 13:15:00
1735392600000,0.7608,0.7644,0.7592,0.7618,595727.5,454206.29676,2024-12-28 13:30:00
1735393500000,0.7618,0.7655,0.759,0.7643,530789.7,404543.21414,2024-12-28 13:45:00
1735394400000,0.7643,0.7695,0.7641,0.769,890592.7,682612.58198,2024-12-28 14:00:00
1735395300000,0.769,0.7735,0.7678,0.7678,895102.4,690095.38262,2024-12-28 14:15:00
1735396200000,0.7678,0.769,0.7616,0.7628,662906.4,507150.36462,2024-12-28 14:30:00
1735397100000,0.7628,0.7656,0.7609,0.7636,544464.4,415165.46074,2024-12-28 14:45:00
1735398000000,0.7636,0.7713,0.7636,0.7679,863994.9,663280.81435,2024-12-28 15:00:00
1735398900000,0.7679,0.7714,0.7668,0.7697,515584.4,396808.57448,2024-12-28 15:15:00
1735399800000,0.7697,0.7712,0.7664,0.7682,417753.4,321013.84729,2024-12-28 15:30:00
1735400700000,0.7682,0.7685,0.7622,0.7633,362583.1,277012.28126,2024-12-28 15:45:00
1735401600000,0.7633,0.7652,0.7619,0.7627,554293.6,423116.11837,2024-12-28 16:00:00
1735402500000,0.7627,0.7667,0.7619,0.765,233283,178340.96628,2024-12-28 16:15:00
1735403400000,0.765,0.7685,0.7648,0.7664,338057.4,259304.29678,2024-12-28 16:30:00
1735404300000,0.7664,0.7706,0.7657,0.7705,196385.1,150824.14394,2024-12-28 16:45:00
1735405200000,0.7705,0.7741,0.7683,0.7733,426546,328945.55704,2024-12-28 17:00:00
1735406100000,0.7733,0.779,0.7726,0.7773,995244,772838.06999,2024-12-28 17:15:00
1735407000000,0.7773,0.7789,0.7737,0.774,374722.5,290680.33911,2024-12-28 17:30:00
1735407900000,0.774,0.7755,0.7728,0.7736,220181.7,170468.58687,2024-12-28 17:45:00
1735408800000,0.7736,0.775,0.7703,0.771,565376,436603.9709,2024-12-28 18:00:00
1735409700000,0.771,0.7737,0.7698,0.7727,223808.6,172616.00644,2024-12-28 18:15:00
1735410600000,0.7727,0.773,0.7679,0.7691,327114.5,251737.3806,2024-12-28 18:30:00
1735411500000,0.7691,0.7708,0.7683,0.7695,464299.3,357370.2812,2024-12-28 18:45:00
1735412400000,0.7695,0.7725,0.7695,0.7705,119613.5,92217.82948,2024-12-28 19:00:00
1735413300000,0.7705,0.771,0.7691,0.7697,132299.5,101854.45859,2024-12-28 19:15:00
1735414200000,0.7697,0.7726,0.7697,0.771,133813.8,103148.66029,2024-12-28 19:30:00
1735415100000,0.771,0.7712,0.7699,0.7711,141422.9,108955.23355,2024-12-28 19:45:00
1735416000000,0.7711,0.7729,0.7692,0.77,187799.3,144722.29888,2024-12-28 20:00:00
1735416900000,0.77,0.7712,0.7692,0.7696,115022.2,88571.24157,2024-12-28 20:15:00
1735417800000,0.7696,0.7715,0.7693,0.7708,140348,108152.9528,2024-12-28 20:30:00
1735418700000,0.7708,0.7728,0.7706,0.7718,80677.6,62244.55834,2024-12-28 20:45:00
1735419600000,0.7718,0.7724,0.7695,0.7705,158123.5,121886.9312,2024-12-28 21:00:00
