time_ms,open,high,low,close,volume,turnover,time
1735384500000,36.575,36.795,36.575,36.785,10938.9,401451.061,2024-12-28 11:15:00
1735385400000,36.785,36.83,36.7,36.79,19863,730762.629,2024-12-28 11:30:00
1735386300000,36.79,36.825,36.715,36.775,12352.2,454237.6075,2024-12-28 11:45:00
1735387200000,36.775,36.825,36.685,36.76,8207.4,301797.309,2024-12-28 12:00:00
1735388100000,36.76,36.78,36.57,36.58,12268.9,449415.1655,2024-12-28 12:15:00
1735389000000,36.58,36.635,36.52,36.535,14455.6,528748.8005,2024-12-28 12:30:00
1735389900000,36.535,36.57,36.42,36.47,9430.8,344169.2005,2024-12-28 12:45:00
1735390800000,36.47,36.715,36.455,36.64,11232.6,410863.2095,2024-12-28 13:00:00
1735391700000,36.64,36.875,36.63,36.81,12076.5,444340.117,2024-12-28 13:15:00
1735392600000,36.81,37.01,36.755,36.835,23122.2,853715.6185,2024-12-28 13:30:00
1735393500000,36.835,36.97,36.745,36.945,23268.3,857468.1195,2024-12-28 13:45:00
1735394400000,36.945,37.27,36.935,37.27,24733.7,917089.4745,2024-12-28 14:00:00
1735395300000,37.27,37.52,37.22,37.225,54407.4,2034499.1635,2024-12-28 14:15:00
1735396200000,37.225,37.28,36.925,36.97,33153.7,1229318.5895,2024-12-28 14:30:00
1735397100000,36.97,37.115,36.86,37.02,20368.7,752577.293,2024-12-28 14:45:00
1735398000000,37.02,37.325,37.02,37.21,31789.1,1182333.512,2024-12-28 15:00:00
1735398900000,37.21,37.365,37.135,37.275,16562.3,617400.3985,2024-12-28 15:15:00
1735399800000,37.275,37.375,37.155,37.22,9650.1,359487.767,2024-12-28 15:30:00
1735400700000,37.22,37.24,36.985,37.045,14771.8,548192.8305,2024-12-28 15:45:00
1735401600000,37.045,37.13,36.975,36.985,14001.2,518872.302,2024-12-28 16:00:00
1735402500000,36.985,37.21,36.955,37.1,20730,769256.266,2024-12-28 16:15:00
1735403400000,37.1,37.33,37.075,37.22,12889.4,479682.748,2024-12-28 16:30:00
1735404300000,37.22,37.495,37.2,37.485,15674.2,585947.094,2024-12-28 16:45:00
1735405200000,37.485,37.715,37.455,37.605,55949.9,2103118.134,2024-12-28 17:00:00
1735406100000,37.605,37.905,37.58,37.805,31095.9,1174148.46,2024-12-28 17:15:00
1735407000000,37.805,37.865,37.62,37.66,20963.8,791210.0825,2024-12-28 17:30:00
1735407900000,37.66,37.77,37.62,37.685,16346.3,616240.7595,2024-12-28 17:45:00
1735408800000,37.685,37.755,37.615,37.72,17843,672608.8975,2024-12-28 18:00:00
1735409700000,37.72,37.82,37.69,37.745,16124.9,608782.255,2024-12-28 18:15:00
1735410600000,37.745,37.76,37.435,37.485,23980.5,901021.9825,2024-12-28 18:30:00
1735411500000,37.485,37.595,37.45,37.53,8241.4,309301.4855,2024-12-28 18:45:00
1735412400000,37.53,37.695,37.525,37.63,12458.4,468679.675,2024-12-28 19:00:00
1735413300000,37.63,37.65,37.55,37.615,7187.9,270257.199,2024-12-28 19:15:00
