time_ms,open,high,low,close,volume,turnover,time
1735387200000,442.2,442.8,439.8,440.2,1009.68,445109.065,2024-12-28 12:00:00
1735390800000,440.2,445.2,440,444.7,2627.96,1164075.743,2024-12-28 13:00:00
1735394400000,444.7,449.1,444.1,445.4,4692.74,2096928.741,2024-12-28 14:00:00
1735398000000,445.4,448.4,443.5,444,1343.11,599137.928,2024-12-28 15:00:00
1735401600000,444,446.8,443.2,446.7,738.79,328780.795,2024-12-28 16:00:00
1735405200000,446.7,451.1,446.3,448.3,2480.02,1113465.225,2024-12-28 17:00:00
1735408800000,448.3,449.4,446.2,446.7,1253.85,561545.767,2024-12-28 18:00:00
1735412400000,446.7,448,446.6,447.1,696.67,311616.573,2024-12-28 19:00:00
1735416000000,447.1,448,446.2,447.7,590.32,263763.825,2024-12-28 20:00:00
1735419600000,447.7,450.7,446.9,450.5,649.45,291380.36,2024-12-28 21:00:00
1735423200000,450.5,453.3,449.2,452.2,1446.64,652189.179,2024-12-28 22:00:00
1735426800000,452.2,452.6,450.3,451.3,754.25,340509.053,2024-12-28 23:00:00
1735430400000,451.3,451.4,448.4,449.3,1214.86,546323.628,2024-12-29 00:00:00
1735434000000,449.3,450.5,446.6,446.9,999.01,447758.943,2024-12-29 01:00:00
1735437600000,446.9,451.1,446.9,450.4,663.9,298576.311,2024-12-29 02:00:00
1735441200000,450.4,450.7,448.5,450.2,673.59,302797.852,2024-12-29 03:00:00
1735444800000,450.2,450.9,448.7,449.1,627.62,282103.049,2024-12-29 04:00:00
1735448400000,449.1,449.9,448,449.3,401.3,180236.417,2024-12-29 05:00:00
1735452000000,449.3,452.3,447.8,452,860.31,387255.526,2024-12-29 06:00:00
1735455600000,452,453.2,451.6,453,895.71,405200.662,2024-12-29 07:00:00
1735459200000,453,453.7,450.9,451.4,718.01,324564.499,2024-12-29 08:00:00
1735462800000,451.4,453.7,451.1,453.4,1231.74,557404.665,2024-12-29 09:00:00
1735466400000,453.4,453.5,451.7,451.8,717.68,324924.885,2024-12-29 10:00:00
1735470000000,451.8,452.1,448.9,448.9,947.5,426844.716,2024-12-29 11:00:00
1735473600000,448.9,450.7,447,447.6,1540.96,690878.581,2024-12-29 12:00:00
1735477200000,447.6,450.4,446.2,450.4,1135.33,508524.71,2024-12-29 13:00:00
