time_ms,open,high,low,close,volume,turnover,time
1735387200000,0.31748,0.3185,0.31619,0.31661,40019140,12707264.22517,2024-12-28 12:00:00
1735390800000,0.31661,0.31829,0.31645,0.31768,42292958,13426820.07972,2024-12-28 13:00:00
1735394400000,0.31768,0.32184,0.3173,0.31831,132286769,42239032.47485,2024-12-28 14:00:00
1735398000000,0.31831,0.3208,0.31826,0.31864,73307020,23436369.07518,2024-12-28 15:00:00
1735401600000,0.31864,0.32191,0.31857,0.3218,48124612,15430657.18875,2024-12-28 16:00:00
1735405200000,0.3218,0.3245,0.32119,0.32279,75467134,24362465.64639,2024-12-28 17:00:00
1735408800000,0.32279,0.32354,0.32063,0.32123,40210049,12942867.13364,2024-12-28 18:00:00
1735412400000,0.32123,0.32313,0.32122,0.32233,18154801,5847231.3341,2024-12-28 19:00:00
1735416000000,0.32233,0.32294,0.32154,0.32259,14646310,4718311.17591,2024-12-28 20:00:00
1735419600000,0.32259,0.32341,0.32171,0.32326,20840534,6720427.71546,2024-12-28 21:00:00
1735423200000,0.32326,0.32748,0.32287,0.32515,40463846,13135684.57769,2024-12-28 22:00:00
1735426800000,0.32515,0.32551,0.3236,0.3243,33032492,10717063.17459,2024-12-28 23:00:00
1735430400000,0.3243,0.32475,0.32237,0.32337,36497075,11800226.60151,2024-12-29 00:00:00
1735434000000,0.32337,0.32413,0.32091,0.32138,34010399,10954478.56678,2024-12-29 01:00:00
1735437600000,0.32138,0.32381,0.32116,0.32335,27355237,8823082.90085,2024-12-29 02:00:00
1735441200000,0.32335,0.32638,0.32238,0.32549,48143537,15616042.45909,2024-12-29 03:00:00
1735444800000,0.32549,0.32578,0.32344,0.32406,31759882,10296102.2274,2024-12-29 04:00:00
1735448400000,0.32406,0.32613,0.32305,0.32593,29460328,9572625.26322,2024-12-29 05:00:00
1735452000000,0.32593,0.32775,0.32521,0.32736,51865758,16924927.00092,2024-12-29 06:00:00
1735455600000,0.32736,0.32966,0.32627,0.32932,37005473,12128169.33114,2024-12-29 07:00:00
1735459200000,0.32932,0.3295,0.32688,0.32704,45415923,14889082.42965,2024-12-29 08:00:00
1735462800000,0.32704,0.32783,0.32608,0.32626,29265532,9565125.15962,2024-12-29 09:00:00
1735466400000,0.32626,0.32824,0.32609,0.32736,28432585,9301150.25221,2024-12-29 10:00:00
1735470000000,0.32736,0.32768,0.32526,0.32557,36426891,11893678.64054,2024-12-29 11:00:00
1735473600000,0.32557,0.3264,0.3241,0.32486,68739159,22347452.51009,2024-12-29 12:00:00
1735477200000,0.32486,0.32647,0.32371,0.32474,49477558,16078727.3532,2024-12-29 13:00:00
1735480800000,0.32474,0.32608,0.31934,0.32134,145066839,46692965.91359,2024-12-29 14:00:00
1735484400000,0.32134,0.32209,0.31957,0.3197,52509114,16848181.1422,2024-12-29 15:00:00
1735488000000,0.3197,0.32004,0.31513,0.31609,98335115,31151598.78709,2024-12-29 16:00:00
1735491600000,0.31609,0.31796,0.31514,0.31618,61573845,19480314.13395,2024-12-29 17:00:00
1735495200000,0.31618,0.31645,0.31413,0.31549,46788320,14752039.80117,2024-12-29 18:00:00
1735498800000,0.31549,0.31667,0.3153,0.31606,31467542,9944060.19475,2024-12-29 19:00:00
1735502400000,0.31606,0.31638,0.31303,0.31616,49885127,15689364.9083,2024-12-29 20:00:00
1735506000000,0.31616,0.31702,0.31313,0.31485,47371305,14931423.08409,2024-12-29 21:00:00
1735509600000,0.31485,0.31544,0.31171,0.3137,71207950,22310473.30636,2024-12-29 22:00:00
1735513200000,0.3137,0.31537,0.31233,0.31423,44963157,14110742.61984,2024-12-29 23:00:00
1735516800000,0.31423,0.31698,0.31299,0.31567,52533391,16551996.30451,2024-12-30 00:00:00
1735520400000,0.31567,0.32287,0.31498,0.32155,114945373,36665630.06737,2024-12-30 01:00:00
1735524000000,0.32155,0.32203,0.31735,0.32085,96256394,30726507.70407,2024-12-30 02:00:00
1735527600000,0.32085,0.32241,0.31862,0.31934,48456220,15525470.66076,2024-12-30 03:00:00
1735531200000,0.31934,0.3216,0.31678,0.31678,41016976,13092677.92219,2024-12-30 04:00:00
1735534800000,0.31678,0.31868,0.31528,0.31742,46063905,14604798.71976,2024-12-30 05:00:00
1735538400000,0.31742,0.32202,0.31738,0.32119,49327320,15784903.74834,2024-12-30 06:00:00
1735542000000,0.32119,0.32184,0.31766,0.32022,48242214,15421101.6894,2024-12-30 07:00:00
1735545600000,0.32022,0.32258,0.31939,0.32105,43800452,14070068.14467,2024-12-30 08:00:00
1735549200000,0.32105,0.32283,0.32011,0.32152,45762362,14715741.90913,2024-12-30 09:00:00
1735552800000,0.32152,0.32216,0.31918,0.31956,32416714,10388848.63841,2024-12-30 10:00:00
1735556400000,0.31956,0.32208,0.31813,0.32075,44207139,14150749.79672,2024-12-30 11:00:00
1735560000000,0.32075,0.32322,0.32034,0.32075,37889436,12185373.47776,2024-12-30 12:00:00
1735563600000,0.32075,0.32142,0.31218,0.31263,142534440,45064836.20746,2024-12-30 13:00:00
1735567200000,0.31263,0.31534,0.3094,0.31015,168574386,52663050.50433,2024-12-30 14:00:00
1735570800000,0.31015,0.31255,0.30646,0.3107,185604094,57364235.88675,2024-12-30 15:00:00
1735574400000,0.3107,0.3116,0.3071,0.30869,82775509,25590171.4306,2024-12-30 16:00:00
1735578000000,0.30869,0.3205,0.30846,0.3174,189822745,59827001.02987,2024-12-30 17:00:00
1735581600000,0.3174,0.31964,0.31614,0.31883,91594712,29138208.86519,2024-12-30 18:00:00
1735585200000,0.31883,0.31989,0.31716,0.3198,48546427,15470534.4601,2024-12-30 19:00:00
1735588800000,0.3198,0.32251,0.3198,0.3207,61763322,19827271.72804,2024-12-30 20:00:00
1735592400000,0.3207,0.32079,0.31001,0.31081,154547523,48521495.9931,2024-12-30 21:00:00
1735596000000,0.31081,0.31473,0.31046,0.31355,58367130,18266807.71145,2024-12-30 22:00:00
1735599600000,0.31355,0.31426,0.31168,0.31379,27192538,8513848.54157,2024-12-30 23:00:00
1735603200000,0.31379,0.31508,0.31187,0.31214,48437225,15183251.75532,2024-12-31 00:00:00
1735606800000,0.31214,0.31341,0.31006,0.31245,52719883,16425590.17354,2024-12-31 01:00:00
1735610400000,0.31245,0.31404,0.31121,0.31245,43818968,13703572.43165,2024-12-31 02:00:00
1735614000000,0.31245,0.31291,0.31034,0.3113,33122959,10319754.67823,2024-12-31 03:00:00
1735617600000,0.3113,0.31348,0.30937,0.30989,34508866,10737824.3181,2024-12-31 04:00:00
1735621200000,0.30989,0.31206,0.30904,0.31052,29010409,9020398.65419,2024-12-31 05:00:00
1735624800000,0.31052,0.31326,0.30969,0.31134,45060684,14055271.23162,2024-12-31 06:00:00
1735628400000,0.31134,0.31239,0.31115,0.31206,22693724,7076388.91907,2024-12-31 07:00:00
1735632000000,0.31206,0.32149,0.31192,0.31663,121982732,38715677.10961,2024-12-31 08:00:00
1735635600000,0.31663,0.31882,0.31546,0.31807,78849759,25010223.07866,2024-12-31 09:00:00
1735639200000,0.31807,0.32,0.31579,0.31906,95018731,30176895.34688,2024-12-31 10:00:00
1735642800000,0.31906,0.32005,0.31842,0.31973,28272111,9028571.04054,2024-12-31 11:00:00
1735646400000,0.31973,0.32231,0.31934,0.31942,75128943,24118052.74939,2024-12-31 12:00:00
