time_ms,open,high,low,close,volume,turnover,time
1735387200000,0.909,0.9154,0.8961,0.8965,3970639,3592773.6431,2024-12-28 12:00:00
1735390800000,0.8965,0.9146,0.896,0.9104,4512528,4085185.4882,2024-12-28 13:00:00
1735394400000,0.9104,0.9273,0.904,0.9091,7223907,6617597.9622,2024-12-28 14:00:00
1735398000000,0.9091,0.9251,0.9087,0.9137,3918426,3594796.9924,2024-12-28 15:00:00
1735401600000,0.9137,0.9301,0.9133,0.9287,3009784,2776240.0965,2024-12-28 16:00:00
1735405200000,0.9287,0.9447,0.9284,0.9369,6063042,5686196.8015,2024-12-28 17:00:00
1735408800000,0.9369,0.9397,0.9255,0.9314,2860647,2664631.7961,2024-12-28 18:00:00
1735412400000,0.9314,0.9371,0.9289,0.9337,1749155,1631248.3719,2024-12-28 19:00:00
1735416000000,0.9337,0.9415,0.9286,0.9408,1733315,1619924.6014,2024-12-28 20:00:00
1735419600000,0.9408,0.9494,0.9356,0.9485,2506234,2360516.3339,2024-12-28 21:00:00
1735423200000,0.9485,0.9506,0.9397,0.9446,1877282,1775618.8017,2024-12-28 22:00:00
1735426800000,0.9446,0.947,0.9357,0.9458,2977667,2800849.1775,2024-12-28 23:00:00
1735430400000,0.9458,0.9497,0.9351,0.9384,2895525,2727797.5491,2024-12-29 00:00:00
1735434000000,0.9384,0.9452,0.9272,0.9328,2586356,2415518.6215,2024-12-29 01:00:00
1735437600000,0.9328,0.9525,0.9285,0.9478,3229171,3045245.9156,2024-12-29 02:00:00
1735441200000,0.9478,0.9526,0.9424,0.9492,4449819,4214569.3188,2024-12-29 03:00:00
1735444800000,0.9492,0.9535,0.9412,0.9463,2227146,2111331.4466,2024-12-29 04:00:00
1735448400000,0.9463,0.9463,0.9402,0.9463,778218,734331.3737,2024-12-29 05:00:00
1735452000000,0.9463,0.9468,0.9363,0.9459,1774897,1668383.0598,2024-12-29 06:00:00
1735455600000,0.9459,0.9742,0.9425,0.9711,5423931,5203878.9769,2024-12-29 07:00:00
1735459200000,0.9711,0.9726,0.949,0.9504,3504737,3361672.0997,2024-12-29 08:00:00
1735462800000,0.9504,0.9535,0.9427,0.9465,2274942,2156696.1974,2024-12-29 09:00:00
1735466400000,0.9465,0.9506,0.9405,0.9447,4029868,3814462.6857,2024-12-29 10:00:00
1735470000000,0.9447,0.948,0.9392,0.9403,2060458,1943654.3275,2024-12-29 11:00:00
