time_ms,open,high,low,close,volume,turnover,time
1735387200000,5.001,5.013,4.959,4.968,115148.6,573201.5341,2024-12-28 12:00:00
1735390800000,4.968,5.06,4.965,5.041,146827.7,738461.3614,2024-12-28 13:00:00
1735394400000,5.041,5.112,5.026,5.039,338703,1717100.1592,2024-12-28 14:00:00
1735398000000,5.039,5.091,5.039,5.047,131380,665327.7683,2024-12-28 15:00:00
1735401600000,5.047,5.19,5.043,5.181,254294.1,1302744.7159,2024-12-28 16:00:00
1735405200000,5.181,5.256,5.159,5.209,354741.7,1848673.7758,2024-12-28 17:00:00
1735408800000,5.209,5.219,5.141,5.145,157020.1,812437.3352,2024-12-28 18:00:00
1735412400000,5.145,5.177,5.137,5.155,130998.2,675772.941,2024-12-28 19:00:00
1735416000000,5.155,5.187,5.135,5.187,112693,581777.1504,2024-12-28 20:00:00
1735419600000,5.187,5.261,5.173,5.254,216510.5,1129515.5717,2024-12-28 21:00:00
1735423200000,5.254,5.281,5.222,5.245,217437.5,1142418.7506,2024-12-28 22:00:00
1735426800000,5.245,5.249,5.196,5.207,132589.9,691608.4478,2024-12-28 23:00:00
1735430400000,5.207,5.237,5.184,5.188,130135.1,678104.0159,2024-12-29 00:00:00
1735434000000,5.188,5.211,5.157,5.161,136187.3,704824.7747,2024-12-29 01:00:00
1735437600000,5.161,5.196,5.156,5.18,55471.8,287176.5042,2024-12-29 02:00:00
1735441200000,5.18,5.194,5.157,5.193,78045.9,404010.4758,2024-12-29 03:00:00
1735444800000,5.193,5.203,5.156,5.171,64799.3,335328.4473,2024-12-29 04:00:00
1735448400000,5.171,5.18,5.161,5.165,43252.1,223640.7568,2024-12-29 05:00:00
1735452000000,5.165,5.183,5.129,5.176,108270.7,557746.5728,2024-12-29 06:00:00
1735455600000,5.176,5.2,5.164,5.196,322561.4,1672124.1393,2024-12-29 07:00:00
1735459200000,5.196,5.199,5.143,5.15,82334.4,425376.7524,2024-12-29 08:00:00
1735462800000,5.15,5.164,5.133,5.149,50905.6,261993.1681,2024-12-29 09:00:00
1735466400000,5.149,5.157,5.124,5.131,58579.1,301273.2044,2024-12-29 10:00:00
1735470000000,5.131,5.143,5.113,5.124,91477.2,468994.7546,2024-12-29 11:00:00
1735473600000,5.124,5.141,5.091,5.109,169255.5,864894.4075,2024-12-29 12:00:00
1735477200000,5.109,5.141,5.101,5.134,90799.2,464789.6486,2024-12-29 13:00:00
1735480800000,5.134,5.17,5.054,5.087,231666.7,1180731.3818,2024-12-29 14:00:00
1735484400000,5.087,5.109,5.069,5.086,114778.7,584282.2254,2024-12-29 15:00:00
1735488000000,5.086,5.087,5.016,5.028,267990.2,1350590.5447,2024-12-29 16:00:00
1735491600000,5.028,5.041,4.993,5.011,174100.3,872476.4563,2024-12-29 17:00:00
1735495200000,5.011,5.011,4.978,4.997,92407.6,461512.4682,2024-12-29 18:00:00
1735498800000,4.997,5.005,4.98,4.993,99993.8,499305.1617,2024-12-29 19:00:00
1735502400000,4.993,4.993,4.931,4.985,193942.1,961998.6506,2024-12-29 20:00:00
1735506000000,4.985,4.998,4.946,4.958,148671.8,739689.491,2024-12-29 21:00:00
1735509600000,4.958,4.969,4.909,4.934,206814.4,1020249.9296,2024-12-29 22:00:00
1735513200000,4.934,4.964,4.915,4.952,97853.9,483206.3998,2024-12-29 23:00:00
1735516800000,4.952,5.028,4.935,5.018,138327.5,690135.0733,2024-12-30 00:00:00
1735520400000,5.018,5.182,5.007,5.102,315174.6,1610978.0355,2024-12-30 01:00:00
1735524000000,5.102,5.121,5.054,5.078,146781.1,745102.0898,2024-12-30 02:00:00
1735527600000,5.078,5.102,5.024,5.027,105689.7,534771.403,2024-12-30 03:00:00
1735531200000,5.027,5.055,4.991,4.993,75380.6,378370.8086,2024-12-30 04:00:00
1735534800000,4.993,5.037,4.985,5.032,108470.6,543386.5399,2024-12-30 05:00:00
1735538400000,5.032,5.108,5.032,5.07,205974.3,1045342.8912,2024-12-30 06:00:00
1735542000000,5.07,5.075,5.001,5.044,162472.6,816604.9768,2024-12-30 07:00:00
1735545600000,5.044,5.084,5.02,5.04,67886.3,342781.0712,2024-12-30 08:00:00
1735549200000,5.04,5.052,5.009,5.031,96172.6,483852.1908,2024-12-30 09:00:00
1735552800000,5.031,5.041,4.986,4.991,97186,486390.7759,2024-12-30 10:00:00
1735556400000,4.991,5.016,4.96,5.004,117877.9,587643.322,2024-12-30 11:00:00
1735560000000,5.004,5.067,4.996,5.007,110255.1,554545.1929,2024-12-30 12:00:00
1735563600000,5.007,5.023,4.85,4.857,543946.7,2672901.3142,2024-12-30 13:00:00
1735567200000,4.857,4.894,4.775,4.814,516441.4,2495156.5192,2024-12-30 14:00:00
1735570800000,4.814,4.853,4.774,4.811,274031.4,1319525.6769,2024-12-30 15:00:00
1735574400000,4.811,4.83,4.75,4.78,216774.1,1038053.805,2024-12-30 16:00:00
1735578000000,4.78,4.975,4.775,4.96,333940.5,1632142.2768,2024-12-30 17:00:00
1735581600000,4.96,5.041,4.937,5.031,476957.7,2391473.5077,2024-12-30 18:00:00
1735585200000,5.031,5.044,5,5.021,106928.7,536575.5497,2024-12-30 19:00:00
1735588800000,5.021,5.087,5.021,5.039,225083.1,1138761.247,2024-12-30 20:00:00
1735592400000,5.039,5.044,4.857,4.866,491203,2414579.0425,2024-12-30 21:00:00
1735596000000,4.866,4.953,4.862,4.922,265114.2,1301107.0455,2024-12-30 22:00:00
1735599600000,4.922,4.94,4.894,4.926,145261.1,714662.153,2024-12-30 23:00:00
1735603200000,4.926,4.926,4.868,4.87,137548.1,673636.0124,2024-12-31 00:00:00
1735606800000,4.87,4.893,4.846,4.868,189155.1,921415.9319,2024-12-31 01:00:00
1735610400000,4.868,4.883,4.834,4.857,167344.9,813253.5723,2024-12-31 02:00:00
1735614000000,4.857,4.869,4.821,4.829,103112.4,499030.5706,2024-12-31 03:00:00
1735617600000,4.829,4.861,4.804,4.819,81960.2,395825.2944,2024-12-31 04:00:00
1735621200000,4.819,4.853,4.805,4.836,93134.3,450044.8737,2024-12-31 05:00:00
1735624800000,4.836,4.881,4.822,4.858,141102.6,685147.1956,2024-12-31 06:00:00
1735628400000,4.858,4.872,4.84,4.85,58185.5,282586.8746,2024-12-31 07:00:00
1735632000000,4.85,4.993,4.85,4.927,237656,1171973.996,2024-12-31 08:00:00
1735635600000,4.927,4.974,4.916,4.963,97378.9,482248.8364,2024-12-31 09:00:00
1735639200000,4.963,4.972,4.924,4.955,95722,473533.0676,2024-12-31 10:00:00
1735642800000,4.955,4.983,4.947,4.969,51941.9,257839.3655,2024-12-31 11:00:00
1735646400000,4.969,5.028,4.96,4.962,210077.6,1048343.3315,2024-12-31 12:00:00
1735650000000,4.962,5.096,4.962,5.068,345892.2,1748461.1359,2024-12-31 13:00:00
1735653600000,5.068,5.138,5.068,5.093,311736.2,1589196.2363,2024-12-31 14:00:00
1735657200000,5.093,5.108,5.051,5.061,120649.4,611845.88,2024-12-31 15:00:00
1735660800000,5.061,5.095,5.011,5.067,345543.7,1747685.5122,2024-12-31 16:00:00
1735664400000,5.067,5.068,4.907,4.97,393428.5,1954086.8674,2024-12-31 17:00:00
1735668000000,4.97,4.997,4.961,4.983,174514.4,869462.6813,2024-12-31 18:00:00
1735671600000,4.983,4.998,4.969,4.989,84805.8,422609.7312,2024-12-31 19:00:00
1735675200000,4.989,5.005,4.936,4.955,83536.8,415300.0604,2024-12-31 20:00:00
1735678800000,4.955,4.982,4.944,4.974,78792,391210.2702,2024-12-31 21:00:00
1735682400000,4.974,4.974,4.913,4.924,208929.7,1032066.9623,2024-12-31 22:00:00
1735686000000,4.924,4.958,4.916,4.951,90502.1,446883.2239,2024-12-31 23:00:00
1735689600000,4.951,5.036,4.942,5.035,177717.1,887179.1727,2025-01-01 00:00:00
1735693200000,5.035,5.036,4.981,4.987,125064.8,625037.6519,2025-01-01 01:00:00
