time_ms,open,high,low,close,volume,turnover,time
1735387200000,0.8149,0.8173,0.8076,0.8093,364214,296013.2551,2024-12-28 12:00:00
1735390800000,0.8093,0.8245,0.8089,0.8226,690398,565319.511,2024-12-28 13:00:00
1735394400000,0.8226,0.8317,0.8193,0.8229,1031200,851218.3992,2024-12-28 14:00:00
1735398000000,0.8229,0.8324,0.8229,0.8254,942375,781262.5249,2024-12-28 15:00:00
1735401600000,0.8254,0.8367,0.8228,0.8365,751220,622974.2002,2024-12-28 16:00:00
1735405200000,0.8365,0.8475,0.8363,0.845,764902,644785.646,2024-12-28 17:00:00
1735408800000,0.845,0.8463,0.8361,0.8372,703603,591988.5767,2024-12-28 18:00:00
1735412400000,0.8372,0.8398,0.8347,0.836,200608,168049.6337,2024-12-28 19:00:00
1735416000000,0.836,0.8375,0.8321,0.8347,322780,269254.7335,2024-12-28 20:00:00
1735419600000,0.8347,0.8404,0.8318,0.8404,437075,365423.9219,2024-12-28 21:00:00
1735423200000,0.8404,0.8488,0.838,0.8456,455090,383410.5166,2024-12-28 22:00:00
1735426800000,0.8456,0.8467,0.8398,0.8434,822490,692831.8013,2024-12-28 23:00:00
1735430400000,0.8434,0.8454,0.8342,0.8363,556535,466621.9212,2024-12-29 00:00:00
1735434000000,0.8363,0.8394,0.8264,0.8278,831627,690414.8957,2024-12-29 01:00:00
1735437600000,0.8278,0.8383,0.8276,0.8338,824746,686445.9998,2024-12-29 02:00:00
1735441200000,0.8338,0.8379,0.8303,0.8378,344284,287273.7339,2024-12-29 03:00:00
1735444800000,0.8378,0.8388,0.8318,0.8327,195174,162818.4307,2024-12-29 04:00:00
1735448400000,0.8327,0.8336,0.8295,0.8329,350907,291989.6526,2024-12-29 05:00:00
1735452000000,0.8329,0.8368,0.8275,0.8361,438070,364836.6516,2024-12-29 06:00:00
1735455600000,0.8361,0.8411,0.8343,0.8385,346676,290437.5002,2024-12-29 07:00:00
1735459200000,0.8385,0.8397,0.8301,0.8312,282131,235136.3054,2024-12-29 08:00:00
1735462800000,0.8312,0.8365,0.8294,0.8359,247934,206592.28,2024-12-29 09:00:00
1735466400000,0.8359,0.8393,0.835,0.8356,163560,136925.104,2024-12-29 10:00:00
1735470000000,0.8356,0.8371,0.8307,0.8317,246433,205334.4719,2024-12-29 11:00:00
1735473600000,0.8317,0.8331,0.8226,0.824,530123,438191.9549,2024-12-29 12:00:00
1735477200000,0.824,0.8297,0.8211,0.8284,1248429,1030502.7985,2024-12-29 13:00:00
1735480800000,0.8284,0.8375,0.816,0.8228,2193309,1806881.8037,2024-12-29 14:00:00
1735484400000,0.8228,0.8289,0.8187,0.8256,625844,515389.7267,2024-12-29 15:00:00
1735488000000,0.8256,0.8267,0.8141,0.8153,504761,413217.5346,2024-12-29 16:00:00
1735491600000,0.8153,0.8174,0.8105,0.8156,282330,229835.9619,2024-12-29 17:00:00
1735495200000,0.8156,0.8158,0.8086,0.8153,293827,238641.4158,2024-12-29 18:00:00
1735498800000,0.8153,0.8174,0.8142,0.816,324035,264425.7183,2024-12-29 19:00:00
1735502400000,0.816,0.8161,0.8019,0.8112,1542748,1248158.2215,2024-12-29 20:00:00
1735506000000,0.8112,0.8131,0.803,0.805,463890,374860.9936,2024-12-29 21:00:00
1735509600000,0.805,0.8053,0.7954,0.7996,901721,721954.7944,2024-12-29 22:00:00
1735513200000,0.7996,0.8059,0.797,0.8029,446366,357896.1005,2024-12-29 23:00:00
1735516800000,0.8029,0.8122,0.7975,0.8089,590001,475280.7213,2024-12-30 00:00:00
1735520400000,0.8089,0.8258,0.8079,0.8209,1914813,1563357.9315,2024-12-30 01:00:00
1735524000000,0.8209,0.8236,0.8112,0.8183,437759,357310.4804,2024-12-30 02:00:00
1735527600000,0.8183,0.8229,0.8138,0.8147,468287,382759.4188,2024-12-30 03:00:00
1735531200000,0.8147,0.8211,0.8077,0.8077,368257,299487.4614,2024-12-30 04:00:00
1735534800000,0.8077,0.8148,0.8064,0.8145,525727,425885.2335,2024-12-30 05:00:00
1735538400000,0.8145,0.8268,0.8144,0.8256,447390,367826.1798,2024-12-30 06:00:00
1735542000000,0.8256,0.8268,0.814,0.8213,458874,376007.6055,2024-12-30 07:00:00
1735545600000,0.8213,0.8282,0.8197,0.8232,671359,553476.6473,2024-12-30 08:00:00
1735549200000,0.8232,0.8247,0.8179,0.8231,321385,264133.9162,2024-12-30 09:00:00
1735552800000,0.8231,0.8267,0.8188,0.8195,336490,276791.3159,2024-12-30 10:00:00
