time_ms,open,high,low,close,volume,turnover,time
1735384500000,21.149,21.304,21.147,21.291,55915.6,1186099.2026,2024-12-28 11:15:00
1735385400000,21.291,21.323,21.245,21.307,33963.1,723126.9305,2024-12-28 11:30:00
1735386300000,21.307,21.349,21.245,21.307,34714.2,739238.8545,2024-12-28 11:45:00
1735387200000,21.307,21.343,21.257,21.299,44340.2,945004.3324,2024-12-28 12:00:00
1735388100000,21.299,21.325,21.187,21.197,44212.4,939516.3745,2024-12-28 12:15:00
1735389000000,21.197,21.307,21.173,21.235,38112.3,809774.3455,2024-12-28 12:30:00
1735389900000,21.235,21.252,21.147,21.19,39461.1,836700.8552,2024-12-28 12:45:00
1735390800000,21.19,21.339,21.174,21.294,52647.8,1120080.7523,2024-12-28 13:00:00
1735391700000,21.294,21.381,21.263,21.324,53671.7,1144332.6052,2024-12-28 13:15:00
1735392600000,21.324,21.439,21.282,21.348,118736,2538630.0786,2024-12-28 13:30:00
1735393500000,21.348,21.497,21.295,21.484,76192.5,1631514.1947,2024-12-28 13:45:00
1735394400000,21.484,21.629,21.472,21.604,98395.5,2120273.565,2024-12-28 14:00:00
1735395300000,21.604,21.856,21.599,21.612,266392.9,5794396.4546,2024-12-28 14:15:00
1735396200000,21.612,21.639,21.362,21.413,147264.4,3162125.4349,2024-12-28 14:30:00
1735397100000,21.413,21.489,21.346,21.471,66253.4,1418786.5942,2024-12-28 14:45:00
1735398000000,21.471,21.712,21.466,21.572,97490.3,2105188.9303,2024-12-28 15:00:00
1735398900000,21.572,21.703,21.51,21.615,121142,2622632.664,2024-12-28 15:15:00
1735399800000,21.615,21.683,21.535,21.585,114233.2,2464378.7136,2024-12-28 15:30:00
1735400700000,21.585,21.593,21.436,21.467,73693.4,1584441.0601,2024-12-28 15:45:00
1735401600000,21.467,21.524,21.341,21.367,101389.9,2170678.2374,2024-12-28 16:00:00
1735402500000,21.367,21.507,21.355,21.457,83093.6,1781354.6402,2024-12-28 16:15:00
1735403400000,21.457,21.613,21.443,21.537,78562.3,1692917.5931,2024-12-28 16:30:00
1735404300000,21.537,21.827,21.523,21.826,86474.6,1876035.9233,2024-12-28 16:45:00
1735405200000,21.826,21.969,21.733,21.965,151287.7,3308288.9514,2024-12-28 17:00:00
1735406100000,21.965,22.177,21.919,22.126,194994.9,4306136.5126,2024-12-28 17:15:00
1735407000000,22.126,22.168,21.967,22.032,111775.6,2466204.9515,2024-12-28 17:30:00
1735407900000,22.032,22.148,22.004,22.121,59817.4,1320028.6992,2024-12-28 17:45:00
1735408800000,22.121,22.149,21.92,21.941,73692.7,1623013.4985,2024-12-28 18:00:00
1735409700000,21.941,22.001,21.88,21.926,71180,1561518.9566,2024-12-28 18:15:00
1735410600000,21.926,21.938,21.728,21.76,72597.8,1583283.3531,2024-12-28 18:30:00
1735411500000,21.76,21.805,21.724,21.727,40853.1,889283.2084,2024-12-28 18:45:00
1735412400000,21.727,21.824,21.724,21.78,38200.7,831653.4746,2024-12-28 19:00:00
1735413300000,21.78,21.813,21.726,21.754,23737,516627.7743,2024-12-28 19:15:00
1735414200000,21.754,21.843,21.746,21.815,36050,785625.513,2024-12-28 19:30:00
1735415100000,21.815,21.819,21.756,21.808,24458,532664.3486,2024-12-28 19:45:00
