time_ms,open,high,low,close,volume,turnover,time
1735387200000,5.176,5.185,5.136,5.151,216880.1,1117186.7097,2024-12-28 12:00:00
1735390800000,5.151,5.229,5.149,5.222,491145.3,2553645.0326,2024-12-28 13:00:00
1735394400000,5.222,5.279,5.19,5.218,638186.7,3338332.2895,2024-12-28 14:00:00
1735398000000,5.218,5.246,5.18,5.188,278738.3,1453365.5709,2024-12-28 15:00:00
1735401600000,5.188,5.236,5.175,5.234,383487.1,1996670.1074,2024-12-28 16:00:00
1735405200000,5.234,5.293,5.224,5.268,402049.6,2117580.161,2024-12-28 17:00:00
1735408800000,5.268,5.279,5.223,5.242,223973.8,1174460.0737,2024-12-28 18:00:00
1735412400000,5.242,5.264,5.238,5.253,125232.5,657382.9583,2024-12-28 19:00:00
1735416000000,5.253,5.281,5.243,5.273,158964.2,836174.3479,2024-12-28 20:00:00
1735419600000,5.273,5.319,5.263,5.318,212781.5,1126205.0647,2024-12-28 21:00:00
1735423200000,5.318,5.368,5.301,5.34,325678.8,1735987.5615,2024-12-28 22:00:00
1735426800000,5.34,5.348,5.311,5.341,185826.4,990326.69,2024-12-28 23:00:00
1735430400000,5.341,5.378,5.323,5.365,381072.9,2040470.3158,2024-12-29 00:00:00
1735434000000,5.365,5.425,5.328,5.332,451849.4,2429698.071,2024-12-29 01:00:00
1735437600000,5.332,5.406,5.331,5.387,252406.3,1355173.4115,2024-12-29 02:00:00
1735441200000,5.387,5.45,5.367,5.448,225153.4,1219284.5203,2024-12-29 03:00:00
1735444800000,5.448,5.475,5.372,5.379,358907.4,1946561.1451,2024-12-29 04:00:00
1735448400000,5.379,5.399,5.361,5.38,164796.1,886203.1958,2024-12-29 05:00:00
1735452000000,5.38,5.387,5.347,5.369,179196.6,961661.5823,2024-12-29 06:00:00
1735455600000,5.369,5.386,5.337,5.358,158852.8,850723.4778,2024-12-29 07:00:00
1735459200000,5.358,5.367,5.312,5.327,254812.6,1360153.9805,2024-12-29 08:00:00
1735462800000,5.327,5.343,5.307,5.336,256059.9,1363541.6761,2024-12-29 09:00:00
1735466400000,5.336,5.364,5.325,5.331,173068.3,924811.9708,2024-12-29 10:00:00
1735470000000,5.331,5.335,5.277,5.28,240479,1274559.0915,2024-12-29 11:00:00
1735473600000,5.28,5.303,5.258,5.264,218281.9,1150968.6793,2024-12-29 12:00:00
1735477200000,5.264,5.299,5.252,5.281,212290.9,1119386.7874,2024-12-29 13:00:00
1735480800000,5.281,5.317,5.224,5.254,541935.4,2847188.8565,2024-12-29 14:00:00
1735484400000,5.254,5.264,5.232,5.238,194793.5,1021809.6891,2024-12-29 15:00:00
1735488000000,5.238,5.241,5.175,5.179,462863.7,2407061.413,2024-12-29 16:00:00
1735491600000,5.179,5.194,5.147,5.17,373356,1929018.1672,2024-12-29 17:00:00
1735495200000,5.17,5.191,5.149,5.183,255237,1319846.5583,2024-12-29 18:00:00
1735498800000,5.183,5.185,5.161,5.171,110834.9,573356.1089,2024-12-29 19:00:00
1735502400000,5.171,5.172,5.115,5.169,648381.4,3328952.614,2024-12-29 20:00:00
1735506000000,5.169,5.18,5.12,5.13,249690.4,1284981.7574,2024-12-29 21:00:00
1735509600000,5.13,5.144,5.081,5.11,531660.9,2716684.5407,2024-12-29 22:00:00
1735513200000,5.11,5.14,5.092,5.128,254126.4,1299358.3637,2024-12-29 23:00:00
1735516800000,5.128,5.182,5.102,5.166,313117.1,1611521.4227,2024-12-30 00:00:00
1735520400000,5.166,5.282,5.159,5.227,614067.2,3207802.7723,2024-12-30 01:00:00
1735524000000,5.227,5.247,5.185,5.229,185893.4,968378.8695,2024-12-30 02:00:00
1735527600000,5.229,5.267,5.215,5.228,188969.1,990045.424,2024-12-30 03:00:00
1735531200000,5.228,5.261,5.173,5.173,172970.8,902723.6202,2024-12-30 04:00:00
1735534800000,5.173,5.21,5.166,5.205,191761.4,995445.8728,2024-12-30 05:00:00
1735538400000,5.205,5.265,5.205,5.228,264701,1385428.4571,2024-12-30 06:00:00
1735542000000,5.228,5.236,5.14,5.193,644539.2,3337801.4119,2024-12-30 07:00:00
