time_ms,open,high,low,close,volume,turnover,time
1735387200000,0.00635,0.006356,0.006271,0.006285,94666770,597078.77445,2024-12-28 12:00:00
1735390800000,0.006285,0.006419,0.006284,0.006378,164204840,1044805.87503,2024-12-28 13:00:00
1735394400000,0.006378,0.00647,0.006354,0.006385,154566380,990212.82206,2024-12-28 14:00:00
1735398000000,0.006385,0.006442,0.006368,0.006377,98647190,631863.72219,2024-12-28 15:00:00
1735401600000,0.006377,0.006442,0.006359,0.00644,65179640,416943.12601,2024-12-28 16:00:00
1735405200000,0.00644,0.006521,0.006436,0.006475,111911060,725542.08601,2024-12-28 17:00:00
1735408800000,0.006475,0.006495,0.006439,0.006443,68985550,445577.85605,2024-12-28 18:00:00
1735412400000,0.006443,0.006464,0.006437,0.006447,32549610,209896.65907,2024-12-28 19:00:00
1735416000000,0.006447,0.00647,0.006434,0.006468,60142940,388032.05668,2024-12-28 20:00:00
1735419600000,0.006468,0.006508,0.006453,0.006505,26491160,171660.77152,2024-12-28 21:00:00
1735423200000,0.006505,0.006572,0.006486,0.006539,46402790,302693.82432,2024-12-28 22:00:00
1735426800000,0.006539,0.006543,0.006497,0.006519,47001880,306428.32137,2024-12-28 23:00:00
1735430400000,0.006519,0.00654,0.006481,0.006502,73222790,476118.57088,2024-12-29 00:00:00
1735434000000,0.006502,0.006533,0.006462,0.006469,36694500,238402.78905,2024-12-29 01:00:00
1735437600000,0.006469,0.006543,0.006469,0.00652,23143930,150625.46991,2024-12-29 02:00:00
1735441200000,0.00652,0.006539,0.006498,0.006539,19397370,126374.02808,2024-12-29 03:00:00
1735444800000,0.006539,0.006553,0.006488,0.006496,18819820,122622.39433,2024-12-29 04:00:00
1735448400000,0.006496,0.006502,0.006468,0.006477,19166490,124188.36696,2024-12-29 05:00:00
1735452000000,0.006477,0.00651,0.006441,0.006504,47819520,309612.80279,2024-12-29 06:00:00
1735455600000,0.006504,0.006524,0.006474,0.006522,34933070,227039.38666,2024-12-29 07:00:00
1735459200000,0.006522,0.006537,0.006465,0.006474,35504620,230641.202,2024-12-29 08:00:00
1735462800000,0.006474,0.006494,0.006448,0.006493,45072450,291609.65445,2024-12-29 09:00:00
1735466400000,0.006493,0.006504,0.006472,0.006478,66809310,433576.14161,2024-12-29 10:00:00
1735470000000,0.006478,0.006485,0.00644,0.006443,43405470,280409.70578,2024-12-29 11:00:00
1735473600000,0.006443,0.006457,0.006388,0.0064,95158210,610640.26679,2024-12-29 12:00:00
1735477200000,0.0064,0.006445,0.006384,0.006438,64562360,414036.4681,2024-12-29 13:00:00
1735480800000,0.006438,0.006485,0.006347,0.006398,196499950,1256910.99904,2024-12-29 14:00:00
1735484400000,0.006398,0.006417,0.006359,0.006396,68272620,436367.09054,2024-12-29 15:00:00
1735488000000,0.006396,0.006405,0.0063,0.006317,153716340,972305.7331,2024-12-29 16:00:00
1735491600000,0.006317,0.006349,0.006279,0.006299,119025990,750706.34514,2024-12-29 17:00:00
1735495200000,0.006299,0.006307,0.006259,0.006296,71465060,449085.64942,2024-12-29 18:00:00
1735498800000,0.006296,0.006333,0.006291,0.006319,52524590,331799.87002,2024-12-29 19:00:00
1735502400000,0.006319,0.006319,0.006229,0.006298,70729090,443033.29374,2024-12-29 20:00:00
1735506000000,0.006298,0.006312,0.006242,0.006255,54939460,345038.16154,2024-12-29 21:00:00
1735509600000,0.006255,0.006262,0.006174,0.006203,124938460,775875.95881,2024-12-29 22:00:00
1735513200000,0.006203,0.006253,0.006182,0.00624,58589830,364347.85927,2024-12-29 23:00:00
1735516800000,0.00624,0.006316,0.006207,0.006294,98355030,616764.69558,2024-12-30 00:00:00
1735520400000,0.006294,0.006469,0.006289,0.006405,180496910,1154801.41151,2024-12-30 01:00:00
1735524000000,0.006405,0.006442,0.00635,0.006411,59404860,379666.87876,2024-12-30 02:00:00
1735527600000,0.006411,0.006455,0.006364,0.006372,60310990,386551.20775,2024-12-30 03:00:00
1735531200000,0.006372,0.006435,0.006334,0.00634,61644580,393555.38225,2024-12-30 04:00:00
1735534800000,0.00634,0.006379,0.006318,0.006364,35611710,226048.81209,2024-12-30 05:00:00
1735538400000,0.006364,0.006458,0.006359,0.006429,64087680,411298.20933,2024-12-30 06:00:00
1735542000000,0.006429,0.006441,0.006343,0.006396,68367490,436306.97528,2024-12-30 07:00:00
1735545600000,0.006396,0.00646,0.006366,0.006391,90130970,577319.74821,2024-12-30 08:00:00
1735549200000,0.006391,0.006396,0.006348,0.006366,45549610,290156.30401,2024-12-30 09:00:00
1735552800000,0.006366,0.006379,0.006298,0.006314,55331080,350433.36447,2024-12-30 10:00:00
1735556400000,0.006314,0.006344,0.006268,0.006336,83871290,528643.51487,2024-12-30 11:00:00
1735560000000,0.006336,0.006422,0.006328,0.006356,79680480,508099.56726,2024-12-30 12:00:00
1735563600000,0.006356,0.006386,0.006184,0.006192,202418440,1268374.66229,2024-12-30 13:00:00
1735567200000,0.006192,0.006261,0.006127,0.006162,197302680,1221401.18337,2024-12-30 14:00:00
1735570800000,0.006162,0.006228,0.006135,0.006182,149070430,921934.60118,2024-12-30 15:00:00
1735574400000,0.006182,0.006182,0.006053,0.006096,160319350,980131.61293,2024-12-30 16:00:00
1735578000000,0.006096,0.006325,0.006094,0.0063,198237560,1233498.64671,2024-12-30 17:00:00
1735581600000,0.0063,0.006372,0.006283,0.006369,132428830,839487.76327,2024-12-30 18:00:00
1735585200000,0.006369,0.006393,0.006336,0.006367,86668800,551907.29178,2024-12-30 19:00:00
1735588800000,0.006367,0.006408,0.006339,0.00635,72324110,460977.05553,2024-12-30 20:00:00
1735592400000,0.00635,0.006358,0.006138,0.006158,228762780,1421802.21555,2024-12-30 21:00:00
1735596000000,0.006158,0.006227,0.006149,0.006188,112819870,699026.34194,2024-12-30 22:00:00
1735599600000,0.006188,0.006234,0.006154,0.006228,73891700,457978.51293,2024-12-30 23:00:00
1735603200000,0.006228,0.006229,0.006141,0.006143,60506210,374393.91824,2024-12-31 00:00:00
1735606800000,0.006143,0.006161,0.0061,0.006127,67229350,411948.71765,2024-12-31 01:00:00
1735610400000,0.006127,0.006152,0.006098,0.006131,66651300,408280.08913,2024-12-31 02:00:00
1735614000000,0.006131,0.00615,0.006095,0.006114,44117200,270074.88106,2024-12-31 03:00:00
1735617600000,0.006114,0.006151,0.006065,0.006073,62960730,384265.72021,2024-12-31 04:00:00
1735621200000,0.006073,0.006125,0.006054,0.006115,73088260,445556.50459,2024-12-31 05:00:00
1735624800000,0.006115,0.006177,0.006095,0.006151,79599630,489292.84168,2024-12-31 06:00:00
1735628400000,0.006151,0.006175,0.006123,0.006152,39081730,240477.94613,2024-12-31 07:00:00
1735632000000,0.006152,0.006306,0.006152,0.006245,140582300,879171.87657,2024-12-31 08:00:00
1735635600000,0.006245,0.006298,0.006218,0.006276,57012060,357173.54034,2024-12-31 09:00:00
1735639200000,0.006276,0.006284,0.006226,0.006264,55422850,346974.92165,2024-12-31 10:00:00
1735642800000,0.006264,0.006291,0.00626,0.006281,40764400,255867.05256,2024-12-31 11:00:00
1735646400000,0.006281,0.006335,0.006264,0.006264,104299970,656428.98297,2024-12-31 12:00:00
1735650000000,0.006264,0.006419,0.006264,0.006387,168593490,1073502.8495,2024-12-31 13:00:00
1735653600000,0.006387,0.006455,0.006376,0.0064,93845890,601909.00191,2024-12-31 14:00:00
1735657200000,0.0064,0.006422,0.006357,0.006375,45055410,287629.90587,2024-12-31 15:00:00
1735660800000,0.006375,0.006429,0.006343,0.006409,92330270,589997.69306,2024-12-31 16:00:00
1735664400000,0.006409,0.006414,0.006243,0.00632,155230540,982373.86835,2024-12-31 17:00:00
