time_ms,open,high,low,close,volume,turnover,time
1735385400000,26.207,26.29,26.184,26.287,7437.14,195253.42608,2024-12-28 11:30:00
1735386300000,26.287,26.344,26.23,26.305,11119.65,292299.00693,2024-12-28 11:45:00
1735387200000,26.305,26.345,26.249,26.284,17478.69,459890.52926,2024-12-28 12:00:00
1735388100000,26.284,26.31,26.149,26.162,5043.54,132157.49916,2024-12-28 12:15:00
1735389000000,26.162,26.268,26.148,26.174,6500.94,170261.94368,2024-12-28 12:30:00
1735389900000,26.174,26.213,26.02,26.08,13747.54,358480.27183,2024-12-28 12:45:00
1735390800000,26.08,26.355,26.061,26.293,20475,536926.48483,2024-12-28 13:00:00
1735391700000,26.293,26.513,26.293,26.402,23951.37,633015.05054,2024-12-28 13:15:00
1735392600000,26.402,26.534,26.328,26.365,15019.01,397114.10319,2024-12-28 13:30:00
1735393500000,26.365,26.508,26.303,26.471,6749.85,178216.13908,2024-12-28 13:45:00
1735394400000,26.471,26.684,26.464,26.665,21412.59,569256.61957,2024-12-28 14:00:00
1735395300000,26.665,26.881,26.597,26.604,66287.4,1773727.16921,2024-12-28 14:15:00
1735396200000,26.604,26.662,26.399,26.452,34525.61,915205.948,2024-12-28 14:30:00
1735397100000,26.452,26.536,26.351,26.445,11546.1,304994.22038,2024-12-28 14:45:00
1735398000000,26.445,26.643,26.439,26.515,7842.18,208089.47158,2024-12-28 15:00:00
1735398900000,26.515,26.651,26.491,26.623,4891.4,130141.3336,2024-12-28 15:15:00
1735399800000,26.623,26.704,26.55,26.617,22981.03,611674.61941,2024-12-28 15:30:00
1735400700000,26.617,26.637,26.446,26.501,10463.12,277385.00571,2024-12-28 15:45:00
1735401600000,26.501,26.584,26.455,26.478,7139.76,189265.49344,2024-12-28 16:00:00
1735402500000,26.478,26.654,26.448,26.577,11859.67,315372.20252,2024-12-28 16:15:00
1735403400000,26.577,26.827,26.56,26.74,58259.68,1557709.18116,2024-12-28 16:30:00
1735404300000,26.74,26.872,26.725,26.862,19536.47,523953.45988,2024-12-28 16:45:00
1735405200000,26.862,26.996,26.8,26.936,18600.49,500764.25634,2024-12-28 17:00:00
1735406100000,26.936,27.155,26.922,27.07,21311,576701.04147,2024-12-28 17:15:00
1735407000000,27.07,27.113,26.94,26.971,16312.2,440429.84276,2024-12-28 17:30:00
1735407900000,26.971,27.041,26.957,26.995,3960.54,106975.05619,2024-12-28 17:45:00
1735408800000,26.995,27.034,26.888,26.906,9252.77,249253.62548,2024-12-28 18:00:00
1735409700000,26.906,27.002,26.88,26.964,3248.97,87485.66345,2024-12-28 18:15:00
1735410600000,26.964,26.982,26.816,26.854,4536.63,121928.36162,2024-12-28 18:30:00
1735411500000,26.854,26.903,26.835,26.855,3434.97,92266.90417,2024-12-28 18:45:00
1735412400000,26.855,26.923,26.842,26.862,14114.66,379256.31199,2024-12-28 19:00:00
1735413300000,26.862,26.862,26.771,26.821,14623.79,391882.47627,2024-12-28 19:15:00
1735414200000,26.821,26.899,26.821,26.873,4107.42,110331.33584,2024-12-28 19:30:00
1735415100000,26.873,26.881,26.838,26.867,1618.03,43452.06355,2024-12-28 19:45:00
1735416000000,26.867,26.965,26.807,26.862,6671.52,179384.14786,2024-12-28 20:00:00
1735416900000,26.862,26.917,26.848,26.867,2110.29,56725.18758,2024-12-28 20:15:00
1735417800000,26.867,26.949,26.856,26.916,2925.34,78665.24076,2024-12-28 20:30:00
1735418700000,26.916,26.982,26.907,26.922,1968.16,53022.05908,2024-12-28 20:45:00
1735419600000,26.922,26.951,26.788,26.872,12129.67,325593.97002,2024-12-28 21:00:00
1735420500000,26.872,26.891,26.835,26.873,1817.12,48822.28145,2024-12-28 21:15:00
1735421400000,26.873,26.98,26.853,26.965,5668.64,152639.13722,2024-12-28 21:30:00
1735422300000,26.965,27.047,26.94,27.031,3896.67,105209.01727,2024-12-28 21:45:00
1735423200000,27.031,27.098,26.981,27.096,8205.02,221868.20568,2024-12-28 22:00:00
1735424100000,27.096,27.183,27.054,27.124,4468.57,121166.66733,2024-12-28 22:15:00
1735425000000,27.124,27.145,27.026,27.11,4489.85,121588.09392,2024-12-28 22:30:00
1735425900000,27.11,27.346,27.11,27.198,6561.64,178712.58951,2024-12-28 22:45:00
1735426800000,27.198,27.218,27.1,27.122,7903.58,214585.54655,2024-12-28 23:00:00
1735427700000,27.122,27.204,27.087,27.184,9534.94,258668.13541,2024-12-28 23:15:00
1735428600000,27.184,27.268,27.156,27.183,3751.37,102071.27609,2024-12-28 23:30:00
1735429500000,27.183,27.298,27.181,27.264,3541.33,96449.88869,2024-12-28 23:45:00
1735430400000,27.264,27.34,27.091,27.238,13733.4,373923.75292,2024-12-29 00:00:00
1735431300000,27.238,27.25,27.105,27.115,5570.43,151336.19523,2024-12-29 00:15:00
1735432200000,27.115,27.267,27.084,27.241,6776.11,184284.83542,2024-12-29 00:30:00
1735433100000,27.241,27.241,27.143,27.201,5070.9,137893.66397,2024-12-29 00:45:00
1735434000000,27.201,27.296,27.095,27.116,8676.16,235995.93692,2024-12-29 01:00:00
1735434900000,27.116,27.247,27.022,27.239,18385.7,498623.71125,2024-12-29 01:15:00
1735435800000,27.239,27.295,27.185,27.199,10667.29,290512.1895,2024-12-29 01:30:00
1735436700000,27.199,27.257,27.139,27.231,6502.06,176870.94814,2024-12-29 01:45:00
1735437600000,27.231,27.346,27.14,27.317,7607.3,207344.29741,2024-12-29 02:00:00
1735438500000,27.317,27.531,27.276,27.433,12466.47,342000.36266,2024-12-29 02:15:00
1735439400000,27.433,27.705,27.416,27.509,11485.95,316896.58226,2024-12-29 02:30:00
1735440300000,27.509,27.52,27.312,27.355,7370.68,202035.38412,2024-12-29 02:45:00
1735441200000,27.355,27.382,27.281,27.346,4338.32,118574.82317,2024-12-29 03:00:00
1735442100000,27.346,27.457,27.286,27.324,5408.09,148086.57834,2024-12-29 03:15:00
1735443000000,27.324,27.364,27.26,27.272,9408.3,256955.32608,2024-12-29 03:30:00
1735443900000,27.272,27.312,27.209,27.235,5120.26,139549.11011,2024-12-29 03:45:00
1735444800000,27.235,27.331,27.179,27.218,4258.86,115947.25434,2024-12-29 04:00:00
1735445700000,27.218,27.235,27.09,27.13,7430.56,201648.99749,2024-12-29 04:15:00
1735446600000,27.13,27.195,27.076,27.172,3905.11,105929.1364,2024-12-29 04:30:00
1735447500000,27.172,27.217,27.145,27.161,2027.99,55129.43998,2024-12-29 04:45:00
1735448400000,27.161,27.227,27.12,27.136,3378.92,91807.79334,2024-12-29 05:00:00
1735449300000,27.136,27.231,27.109,27.205,2547.27,69213.72609,2024-12-29 05:15:00
1735450200000,27.205,27.219,27.164,27.171,2359.57,64153.30291,2024-12-29 05:30:00
1735451100000,27.171,27.197,27.125,27.156,3434.33,93216.8094,2024-12-29 05:45:00
1735452000000,27.156,27.184,26.913,26.974,19517.84,527095.1126,2024-12-29 06:00:00
1735452900000,26.974,27.076,26.944,27.067,6038.11,162942.20792,2024-12-29 06:15:00
1735453800000,27.067,27.164,27.06,27.072,14046.06,380831.6975,2024-12-29 06:30:00
1735454700000,27.072,27.173,27.055,27.141,8815.42,239111.59149,2024-12-29 06:45:00
1735455600000,27.141,27.257,27.087,27.163,7337.56,199285.02309,2024-12-29 07:00:00
1735456500000,27.163,27.242,27.132,27.168,9664.92,262870.39918,2024-12-29 07:15:00
1735457400000,27.168,27.203,27.117,27.198,5301.55,143956.3396,2024-12-29 07:30:00
1735458300000,27.198,27.32,27.193,27.296,6587.81,179694.2656,2024-12-29 07:45:00
1735459200000,27.296,27.339,27.153,27.167,5594.81,152283.81231,2024-12-29 08:00:00
1735460100000,27.167,27.222,27.119,27.145,8786.1,238492.71527,2024-12-29 08:15:00
1735461000000,27.145,27.196,27.05,27.09,4350.2,117946.77582,2024-12-29 08:30:00
1735461900000,27.09,27.132,27.066,27.12,1979.42,53632.55431,2024-12-29 08:45:00
1735462800000,27.12,27.181,27.023,27.04,7013.26,189801.0126,2024-12-29 09:00:00
1735463700000,27.04,27.096,27.003,27.063,2851,77083.47048,2024-12-29 09:15:00
1735464600000,27.063,27.127,27.031,27.085,6571.61,177945.66742,2024-12-29 09:30:00
1735465500000,27.085,27.161,27.055,27.155,2643.24,71691.8724,2024-12-29 09:45:00
1735466400000,27.155,27.204,27.124,27.155,2696.97,73246.59515,2024-12-29 10:00:00
1735467300000,27.155,27.22,27.146,27.184,2545.04,69165.08732,2024-12-29 10:15:00
1735468200000,27.184,27.243,27.166,27.221,3678.65,100094.777,2024-12-29 10:30:00
1735469100000,27.221,27.24,27.134,27.139,2771.43,75354.28934,2024-12-29 10:45:00
1735470000000,27.139,27.174,27.064,27.073,2815.62,76304.15485,2024-12-29 11:00:00
1735470900000,27.073,27.109,27.025,27.079,3556.83,96268.43822,2024-12-29 11:15:00
1735471800000,27.079,27.15,27.076,27.1,3285.52,89066.36617,2024-12-29 11:30:00
1735472700000,27.1,27.121,26.964,26.972,14615.9,394940.80096,2024-12-29 11:45:00
1735473600000,26.972,27.032,26.879,27.027,15327.83,413146.31646,2024-12-29 12:00:00
1735474500000,27.027,27.064,26.884,26.884,5355.68,144679.32533,2024-12-29 12:15:00
1735475400000,26.884,26.888,26.761,26.849,9546.76,256179.37096,2024-12-29 12:30:00
1735476300000,26.849,26.943,26.84,26.909,7983.86,214789.57444,2024-12-29 12:45:00
1735477200000,26.909,26.992,26.832,26.943,6001,161593.74125,2024-12-29 13:00:00
1735478100000,26.943,27.055,26.924,26.936,4186.04,112996.05723,2024-12-29 13:15:00
1735479000000,26.936,26.995,26.871,26.961,6468.67,174373.1127,2024-12-29 13:30:00
1735479900000,26.961,27.19,26.946,27.155,12631.31,342294.8916,2024-12-29 13:45:00
1735480800000,27.155,27.316,27.143,27.179,13446.92,366347.20683,2024-12-29 14:00:00
1735481700000,27.179,27.18,26.921,26.982,33848.83,913923.36241,2024-12-29 14:15:00
1735482600000,26.982,26.986,26.706,26.828,35315.71,946657.04671,2024-12-29 14:30:00
1735483500000,26.828,27.135,26.772,27.007,24859.04,670907.76099,2024-12-29 14:45:00
1735484400000,27.007,27.032,26.83,26.893,15184.83,408434.00466,2024-12-29 15:00:00
1735485300000,26.893,26.993,26.876,26.922,7541.09,203188.58226,2024-12-29 15:15:00
1735486200000,26.922,27.022,26.874,26.9,5406.85,145650.2991,2024-12-29 15:30:00
1735487100000,26.9,26.929,26.762,26.766,10144.71,272327.11369,2024-12-29 15:45:00
1735488000000,26.766,26.846,26.56,26.577,27405.71,731414.89443,2024-12-29 16:00:00
1735488900000,26.577,26.581,26.438,26.475,26197.12,694096.90853,2024-12-29 16:15:00
1735489800000,26.475,26.573,26.442,26.548,12218,323670.81987,2024-12-29 16:30:00
1735490700000,26.548,26.576,26.489,26.556,14499.81,384807.0621,2024-12-29 16:45:00
1735491600000,26.556,26.676,26.404,26.629,13724.9,364065.77504,2024-12-29 17:00:00
1735492500000,26.629,26.648,26.393,26.425,30370.68,804029.55903,2024-12-29 17:15:00
1735493400000,26.425,26.524,26.412,26.498,11401.26,301446.07534,2024-12-29 17:30:00
1735494300000,26.498,26.537,26.464,26.527,3744.64,99263.41766,2024-12-29 17:45:00
