time_ms,open,high,low,close,volume,turnover,time
1735385400000,0.4101,0.4116,0.4094,0.4114,635235,260905.3639,2024-12-28 11:30:00
1735386300000,0.4114,0.4128,0.4106,0.4118,665014,273966.9625,2024-12-28 11:45:00
1735387200000,0.4118,0.4126,0.4108,0.4117,507832,209119.7585,2024-12-28 12:00:00
1735388100000,0.4117,0.412,0.4088,0.4088,354106,145226.9693,2024-12-28 12:15:00
1735389000000,0.4088,0.4098,0.4082,0.4084,284023,116218.292,2024-12-28 12:30:00
1735389900000,0.4084,0.4088,0.4073,0.4078,573453,233964.2433,2024-12-28 12:45:00
1735390800000,0.4078,0.4112,0.4076,0.4103,513779,210529.036,2024-12-28 13:00:00
1735391700000,0.4103,0.4133,0.41,0.4128,683838,281677.0964,2024-12-28 13:15:00
1735392600000,0.4128,0.4159,0.4123,0.413,1415009,586207.4964,2024-12-28 13:30:00
1735393500000,0.413,0.4149,0.4114,0.4143,609112,251380.2622,2024-12-28 13:45:00
1735394400000,0.4143,0.4179,0.4142,0.4178,932705,387636.0928,2024-12-28 14:00:00
1735395300000,0.4178,0.4208,0.4178,0.4181,1257613,527490.9825,2024-12-28 14:15:00
1735396200000,0.4181,0.4186,0.4142,0.4149,717925,298891.8032,2024-12-28 14:30:00
1735397100000,0.4149,0.4169,0.4131,0.4148,705786,292513.3027,2024-12-28 14:45:00
1735398000000,0.4148,0.4191,0.4148,0.4183,1161489,484455.979,2024-12-28 15:00:00
1735398900000,0.4183,0.4188,0.417,0.418,1371580,573575.879,2024-12-28 15:15:00
1735399800000,0.418,0.4188,0.417,0.418,3549827,1483621.2643,2024-12-28 15:30:00
1735400700000,0.418,0.4187,0.4139,0.4147,992942,412650.176,2024-12-28 15:45:00
1735401600000,0.4147,0.416,0.4125,0.4127,989885,409929.8336,2024-12-28 16:00:00
1735402500000,0.4127,0.4162,0.4123,0.4153,1002830,415845.926,2024-12-28 16:15:00
1735403400000,0.4153,0.4178,0.4148,0.4163,624961,260380.5545,2024-12-28 16:30:00
1735404300000,0.4163,0.4181,0.4162,0.418,734985,306942.6717,2024-12-28 16:45:00
1735405200000,0.418,0.4221,0.4176,0.4217,1142698,479926.9045,2024-12-28 17:00:00
1735406100000,0.4217,0.425,0.4211,0.4233,961879,407372.0177,2024-12-28 17:15:00
1735407000000,0.4233,0.4249,0.4212,0.4225,673984,284968.4225,2024-12-28 17:30:00
1735407900000,0.4225,0.4236,0.4215,0.422,514610,217440.5835,2024-12-28 17:45:00
1735408800000,0.422,0.4235,0.4205,0.4208,472249,199102.4644,2024-12-28 18:00:00
1735409700000,0.4208,0.4223,0.4199,0.4216,419880,176920.3199,2024-12-28 18:15:00
1735410600000,0.4216,0.422,0.4187,0.4195,326249,136921.5343,2024-12-28 18:30:00
1735411500000,0.4195,0.4206,0.4193,0.4199,293115,123086.0695,2024-12-28 18:45:00
1735412400000,0.4199,0.4219,0.4198,0.4202,1215368,511135.8822,2024-12-28 19:00:00
1735413300000,0.4202,0.4206,0.4188,0.4195,227740,95599.2063,2024-12-28 19:15:00
1735414200000,0.4195,0.4218,0.4194,0.4213,181137,76250.5205,2024-12-28 19:30:00
1735415100000,0.4213,0.4213,0.4202,0.4209,135029,56804.832,2024-12-28 19:45:00
1735416000000,0.4209,0.422,0.4198,0.4202,284793,119853.5669,2024-12-28 20:00:00
1735416900000,0.4202,0.421,0.4197,0.4202,180671,75915.3907,2024-12-28 20:15:00
1735417800000,0.4202,0.4225,0.4199,0.4216,504720,212659.4039,2024-12-28 20:30:00
1735418700000,0.4216,0.4222,0.4208,0.4219,273358,115288.0029,2024-12-28 20:45:00
1735419600000,0.4219,0.4233,0.4216,0.4222,512730,216552.6656,2024-12-28 21:00:00
1735420500000,0.4222,0.4229,0.4216,0.422,548476,231622.4123,2024-12-28 21:15:00
1735421400000,0.422,0.4247,0.422,0.4238,438340,185701.2741,2024-12-28 21:30:00
1735422300000,0.4238,0.4267,0.4234,0.4265,780686,332274.5581,2024-12-28 21:45:00
1735423200000,0.4265,0.4269,0.4256,0.4265,772779,329425.5712,2024-12-28 22:00:00
1735424100000,0.4265,0.4284,0.4258,0.4275,776665,331847.0826,2024-12-28 22:15:00
1735425000000,0.4275,0.4278,0.4254,0.4269,629404,268556.059,2024-12-28 22:30:00
1735425900000,0.4269,0.4317,0.4269,0.4288,1106385,474669.1676,2024-12-28 22:45:00
1735426800000,0.4288,0.429,0.4269,0.4275,489672,209455.7086,2024-12-28 23:00:00
1735427700000,0.4275,0.4279,0.4258,0.4263,331756,141502.1274,2024-12-28 23:15:00
1735428600000,0.4263,0.4278,0.425,0.4253,656439,279700.2213,2024-12-28 23:30:00
1735429500000,0.4253,0.4267,0.4253,0.4262,258730,110238.6361,2024-12-28 23:45:00
1735430400000,0.4262,0.4296,0.4239,0.4281,2296303,980138.4535,2024-12-29 00:00:00
1735431300000,0.4281,0.4294,0.4272,0.4285,3547251,1518555.1953,2024-12-29 00:15:00
1735432200000,0.4285,0.4309,0.4255,0.4298,2181326,933649.5502,2024-12-29 00:30:00
1735433100000,0.4298,0.4302,0.4281,0.4289,1192542,511462.4763,2024-12-29 00:45:00
1735434000000,0.4289,0.4308,0.4272,0.428,770270,330343.3651,2024-12-29 01:00:00
1735434900000,0.428,0.4284,0.426,0.4266,674463,288019.9492,2024-12-29 01:15:00
1735435800000,0.4266,0.4271,0.4248,0.425,483878,206151.8178,2024-12-29 01:30:00
1735436700000,0.425,0.4251,0.424,0.4242,408789,173534.4387,2024-12-29 01:45:00
1735437600000,0.4242,0.4257,0.4235,0.425,457873,194267.2364,2024-12-29 02:00:00
1735438500000,0.425,0.4278,0.4246,0.4271,673377,287392.9681,2024-12-29 02:15:00
1735439400000,0.4271,0.4295,0.4269,0.4285,435376,186483.9634,2024-12-29 02:30:00
1735440300000,0.4285,0.4296,0.4281,0.4288,209025,89629.3788,2024-12-29 02:45:00
1735441200000,0.4288,0.4292,0.4266,0.4276,285163,121999.7935,2024-12-29 03:00:00
1735442100000,0.4276,0.4289,0.4269,0.4285,409304,175136.2035,2024-12-29 03:15:00
1735443000000,0.4285,0.4293,0.428,0.4292,254726,109184.5272,2024-12-29 03:30:00
1735443900000,0.4292,0.4304,0.4281,0.4303,459610,197384.4199,2024-12-29 03:45:00
1735444800000,0.4303,0.431,0.4289,0.4295,423369,181816.4358,2024-12-29 04:00:00
1735445700000,0.4295,0.4296,0.4267,0.4269,1300769,556895.7,2024-12-29 04:15:00
1735446600000,0.4269,0.428,0.4262,0.4276,452001,193034.2962,2024-12-29 04:30:00
1735447500000,0.4276,0.4282,0.4263,0.4268,811904,346503.6029,2024-12-29 04:45:00
1735448400000,0.4268,0.4272,0.4252,0.4262,209379,89243.8898,2024-12-29 05:00:00
1735449300000,0.4262,0.4269,0.4256,0.4261,202754,86384.7069,2024-12-29 05:15:00
1735450200000,0.4261,0.4263,0.4249,0.425,225090,95768.9992,2024-12-29 05:30:00
1735451100000,0.425,0.4258,0.4247,0.4252,133333,56692.0156,2024-12-29 05:45:00
1735452000000,0.4252,0.4256,0.4217,0.4221,1736856,734242.9117,2024-12-29 06:00:00
1735452900000,0.4221,0.4243,0.4218,0.424,618851,261593.2244,2024-12-29 06:15:00
1735453800000,0.424,0.4258,0.4237,0.4245,333483,141672.5082,2024-12-29 06:30:00
1735454700000,0.4245,0.4271,0.4244,0.4265,675575,287908.817,2024-12-29 06:45:00
1735455600000,0.4265,0.4277,0.4256,0.4266,786415,335593.504,2024-12-29 07:00:00
1735456500000,0.4266,0.4279,0.4265,0.4275,355214,151775.8514,2024-12-29 07:15:00
1735457400000,0.4275,0.4279,0.4258,0.4274,525012,223950.5642,2024-12-29 07:30:00
1735458300000,0.4274,0.4291,0.4273,0.4286,467851,200504.8927,2024-12-29 07:45:00
1735459200000,0.4286,0.4292,0.4263,0.4265,304400,130240.157,2024-12-29 08:00:00
1735460100000,0.4265,0.427,0.4251,0.4254,248172,105722.5443,2024-12-29 08:15:00
1735461000000,0.4254,0.4262,0.4234,0.4237,357426,151869.9584,2024-12-29 08:30:00
1735461900000,0.4237,0.4243,0.423,0.4239,322922,136801.7653,2024-12-29 08:45:00
1735462800000,0.4239,0.4249,0.4226,0.4229,402103,170351.9634,2024-12-29 09:00:00
1735463700000,0.4229,0.4245,0.422,0.4242,203759,86177.3123,2024-12-29 09:15:00
1735464600000,0.4242,0.4254,0.4233,0.4243,273162,115975.6211,2024-12-29 09:30:00
1735465500000,0.4243,0.4263,0.4237,0.4261,346885,147604.1332,2024-12-29 09:45:00
1735466400000,0.4261,0.4274,0.4251,0.427,405471,172821.1306,2024-12-29 10:00:00
1735467300000,0.427,0.4277,0.4259,0.4261,621664,265385.3002,2024-12-29 10:15:00
1735468200000,0.4261,0.4278,0.4254,0.4273,542583,231409.926,2024-12-29 10:30:00
1735469100000,0.4273,0.4278,0.4258,0.4262,137409,58631.2078,2024-12-29 10:45:00
1735470000000,0.4262,0.427,0.4244,0.4245,309883,131829.2097,2024-12-29 11:00:00
1735470900000,0.4245,0.4249,0.4233,0.4241,384259,162937.1547,2024-12-29 11:15:00
1735471800000,0.4241,0.4257,0.4239,0.4251,416735,176961.8654,2024-12-29 11:30:00
1735472700000,0.4251,0.4252,0.4227,0.4228,244860,103781.6321,2024-12-29 11:45:00
1735473600000,0.4228,0.4238,0.422,0.4231,298936,126419.5712,2024-12-29 12:00:00
