time_ms,open,high,low,close,volume,turnover,time
1735384500000,185.92,186.38,185.92,186.37,8682.9,1616760.146,2024-12-28 11:15:00
1735385400000,186.37,187.07,186.12,186.97,56316.7,10521176.111,2024-12-28 11:30:00
1735386300000,186.97,187.34,186.66,187.08,48143.9,9005503.141,2024-12-28 11:45:00
1735387200000,187.08,187.57,186.83,187.19,36455.3,6826797.85,2024-12-28 12:00:00
1735388100000,187.19,187.45,186.75,186.83,18849.8,3526343.071,2024-12-28 12:15:00
1735389000000,186.83,187.17,186.46,186.63,25523,4765593.462,2024-12-28 12:30:00
1735389900000,186.63,186.93,186.38,186.71,14734.7,2749426.666,2024-12-28 12:45:00
1735390800000,186.71,187.48,186.64,187.26,30986.9,5798465.312,2024-12-28 13:00:00
1735391700000,187.26,187.92,187,187.77,47507,8915351.379,2024-12-28 13:15:00
1735392600000,187.77,188.3,187.54,187.84,69038,12974252.88,2024-12-28 13:30:00
1735393500000,187.84,188.41,187.37,188.21,33740.6,6341663.193,2024-12-28 13:45:00
1735394400000,188.21,188.98,187.89,188.91,59611.2,11227663.032,2024-12-28 14:00:00
1735395300000,188.91,190.15,188.88,188.96,163302.4,30941808.948,2024-12-28 14:15:00
1735396200000,188.96,189.4,188.44,188.83,76430.4,14437721.862,2024-12-28 14:30:00
1735397100000,188.83,189.74,188.47,189.74,56107.8,10603731.927,2024-12-28 14:45:00
1735398000000,189.74,191.18,189.71,190.41,147597.6,28127418.029,2024-12-28 15:00:00
1735398900000,190.41,191.22,190.33,190.82,51018.7,9731789.95,2024-12-28 15:15:00
1735399800000,190.82,191.21,190.39,190.76,36354.6,6933922.478,2024-12-28 15:30:00
1735400700000,190.76,190.84,189.76,190.1,53236.8,10119165.627,2024-12-28 15:45:00
1735401600000,190.1,190.45,189.51,189.86,66365,12607764.588,2024-12-28 16:00:00
1735402500000,189.86,190.81,189.81,190.59,27091.7,5159557.94,2024-12-28 16:15:00
1735403400000,190.59,191.85,190.57,191.46,73836.5,14133755.239,2024-12-28 16:30:00
1735404300000,191.46,192.61,191.17,192.59,70301.6,13493908.255,2024-12-28 16:45:00
1735405200000,192.59,193.87,192.54,193.58,264952.7,51204977.094,2024-12-28 17:00:00
1735406100000,193.58,194.58,193.41,193.91,95758.6,18571541.418,2024-12-28 17:15:00
1735407000000,193.91,194.86,193.85,194.65,94087.7,18286838.155,2024-12-28 17:30:00
1735407900000,194.65,195.22,194.54,194.78,78596.1,15319501.215,2024-12-28 17:45:00
1735408800000,194.78,195.29,193.48,194.2,251918.9,48886394.778,2024-12-28 18:00:00
1735409700000,194.2,194.7,193.84,194.39,42571.8,8269303.23,2024-12-28 18:15:00
1735410600000,194.39,194.6,193.44,193.67,41732.8,8093441.125,2024-12-28 18:30:00
1735411500000,193.67,194.07,193.48,193.67,30063.8,5824035.655,2024-12-28 18:45:00
1735412400000,193.67,194.09,193.64,193.83,26855.2,5206356.981,2024-12-28 19:00:00
1735413300000,193.83,193.98,193.47,193.63,20139.8,3901592.005,2024-12-28 19:15:00
1735414200000,193.63,193.93,193.46,193.88,21386.9,4142216.928,2024-12-28 19:30:00
1735415100000,193.88,193.94,193.6,193.68,16798.4,3254471.096,2024-12-28 19:45:00
1735416000000,193.68,194.01,192.81,192.85,55026.7,10635632.738,2024-12-28 20:00:00
1735416900000,192.85,193.07,192.59,192.72,45016.4,8678661.669,2024-12-28 20:15:00
1735417800000,192.72,192.91,192.66,192.81,15489,2985982.869,2024-12-28 20:30:00
1735418700000,192.81,193.33,192.81,193.2,29035.4,5605976.809,2024-12-28 20:45:00
1735419600000,193.2,193.5,192.84,193.11,23868.3,4610865.64,2024-12-28 21:00:00
1735420500000,193.11,193.19,192.81,193.14,10486,2023873.083,2024-12-28 21:15:00
1735421400000,193.14,193.8,193.05,193.46,30387.1,5881044.442,2024-12-28 21:30:00
1735422300000,193.46,194.4,193.31,194.39,39781.8,7712251.103,2024-12-28 21:45:00
1735423200000,194.39,194.8,193.93,194.74,66504.9,12926721.334,2024-12-28 22:00:00
1735424100000,194.74,195.17,194.34,195.13,28949.6,5638321.883,2024-12-28 22:15:00
1735425000000,195.13,195.22,193.98,195.09,52618.9,10243876.666,2024-12-28 22:30:00
1735425900000,195.09,196.03,194.91,195.12,89639.1,17532916.086,2024-12-28 22:45:00
1735426800000,195.12,195.52,194.57,194.82,49589.8,9666397.096,2024-12-28 23:00:00
1735427700000,194.82,195.13,194.17,194.78,49632.9,9660863.096,2024-12-28 23:15:00
1735428600000,194.78,195.37,194.59,194.76,24646.7,4804177.221,2024-12-28 23:30:00
1735429500000,194.76,195.49,194.76,195.4,17001,3318682.592,2024-12-28 23:45:00
1735430400000,195.4,195.64,194.34,194.84,52499.1,10226237.786,2024-12-29 00:00:00
1735431300000,194.84,194.89,194.09,194.22,30975.9,6024946.687,2024-12-29 00:15:00
1735432200000,194.22,194.58,193.82,194.07,30028.4,5828626.007,2024-12-29 00:30:00
1735433100000,194.07,194.17,193.64,193.93,24764.1,4800196.25,2024-12-29 00:45:00
1735434000000,193.93,194.44,193.4,193.51,35305.4,6844200.165,2024-12-29 01:00:00
1735434900000,193.51,193.6,192.31,192.83,107478,20719509.067,2024-12-29 01:15:00
1735435800000,192.83,193,192.45,192.64,40025.3,7712154.287,2024-12-29 01:30:00
1735436700000,192.64,192.87,192.29,192.5,43143.3,8305849.842,2024-12-29 01:45:00
1735437600000,192.5,192.93,192.33,192.91,19021.7,3663722.581,2024-12-29 02:00:00
1735438500000,192.91,193.23,192.63,193.09,28220,5446794.504,2024-12-29 02:15:00
1735439400000,193.09,194.25,193.08,194.02,58438.7,11326904.187,2024-12-29 02:30:00
1735440300000,194.02,194.2,193.57,193.66,23583.6,4572831.423,2024-12-29 02:45:00
1735441200000,193.66,193.8,193.18,193.37,17020.9,3293651.781,2024-12-29 03:00:00
1735442100000,193.37,194.28,193.3,194.14,17273.1,3346557.997,2024-12-29 03:15:00
1735443000000,194.14,194.58,194.1,194.31,29992.6,5830192.616,2024-12-29 03:30:00
1735443900000,194.31,194.84,194.08,194.7,38166.8,7427205.34,2024-12-29 03:45:00
1735444800000,194.7,194.8,194.14,194.45,21562.9,4190846.318,2024-12-29 04:00:00
1735445700000,194.45,194.61,194.15,194.3,17883.8,3476682.529,2024-12-29 04:15:00
