time_ms,open,high,low,close,volume,turnover,time
1735384500000,4.0592,4.081,4.0578,4.0799,287660,1171275.571,2024-12-28 11:15:00
1735385400000,4.0799,4.1121,4.076,4.1068,891130,3650675.859,2024-12-28 11:30:00
1735386300000,4.1068,4.1472,4.1013,4.1335,1419470,5859919.618,2024-12-28 11:45:00
1735387200000,4.1335,4.1335,4.1028,4.1077,961290,3958622.561,2024-12-28 12:00:00
1735388100000,4.1077,4.1105,4.0787,4.0807,589550,2412951.618,2024-12-28 12:15:00
1735389000000,4.0807,4.0999,4.0792,4.0839,494570,2022295.46,2024-12-28 12:30:00
1735389900000,4.0839,4.0855,4.0619,4.0702,686080,2792488.21,2024-12-28 12:45:00
1735390800000,4.0702,4.0832,4.057,4.0593,551580,2244064.47,2024-12-28 13:00:00
1735391700000,4.0593,4.0773,4.0574,4.0658,365850,1488018.307,2024-12-28 13:15:00
1735392600000,4.0658,4.0964,4.059,4.0676,738730,3014374.524,2024-12-28 13:30:00
1735393500000,4.0676,4.0841,4.0513,4.0744,711540,2892407.727,2024-12-28 13:45:00
1735394400000,4.0744,4.1158,4.074,4.1158,869570,3560162.244,2024-12-28 14:00:00
1735395300000,4.1158,4.1701,4.1146,4.1219,2467310,10240140.141,2024-12-28 14:15:00
1735396200000,4.1219,4.1329,4.0846,4.0913,1230970,5055490.309,2024-12-28 14:30:00
1735397100000,4.0913,4.1081,4.0791,4.0997,650760,2661500.386,2024-12-28 14:45:00
1735398000000,4.0997,4.1331,4.0988,4.115,643060,2648919.087,2024-12-28 15:00:00
1735398900000,4.115,4.1312,4.1061,4.1219,239680,987914.248,2024-12-28 15:15:00
1735399800000,4.1219,4.1313,4.1092,4.118,316560,1303825.06,2024-12-28 15:30:00
1735400700000,4.118,4.1212,4.0792,4.0868,704100,2882534.567,2024-12-28 15:45:00
1735401600000,4.0868,4.1,4.0796,4.085,377510,1544128.652,2024-12-28 16:00:00
1735402500000,4.085,4.1143,4.0815,4.1002,447620,1835889.673,2024-12-28 16:15:00
1735403400000,4.1002,4.1404,4.0913,4.1187,603160,2487635.105,2024-12-28 16:30:00
1735404300000,4.1187,4.1472,4.1163,4.1406,357620,1477837.667,2024-12-28 16:45:00
1735405200000,4.1406,4.18,4.1367,4.1627,1375000,5721482.79,2024-12-28 17:00:00
1735406100000,4.1627,4.2119,4.153,4.1905,1737810,7284206.168,2024-12-28 17:15:00
1735407000000,4.1905,4.1994,4.1655,4.1765,714280,2986159.583,2024-12-28 17:30:00
1735407900000,4.1765,4.1891,4.1672,4.1837,443190,1852001.86,2024-12-28 17:45:00
1735408800000,4.1837,4.194,4.1702,4.1761,427970,1788236.822,2024-12-28 18:00:00
1735409700000,4.1761,4.2044,4.1701,4.1947,410850,1720827.636,2024-12-28 18:15:00
1735410600000,4.1947,4.2001,4.1759,4.1836,287060,1201727.532,2024-12-28 18:30:00
1735411500000,4.1836,4.1959,4.1736,4.1876,385680,1614649.619,2024-12-28 18:45:00
1735412400000,4.1876,4.2017,4.179,4.1846,384900,1612762.313,2024-12-28 19:00:00
1735413300000,4.1846,4.1868,4.1598,4.1708,518340,2161672.447,2024-12-28 19:15:00
1735414200000,4.1708,4.1831,4.1695,4.1786,180300,753056.841,2024-12-28 19:30:00
1735415100000,4.1786,4.1839,4.1706,4.179,162070,677064.478,2024-12-28 19:45:00
1735416000000,4.179,4.1852,4.1623,4.1768,182610,762030.063,2024-12-28 20:00:00
1735416900000,4.1768,4.1888,4.1741,4.1821,176510,738105.46,2024-12-28 20:15:00
1735417800000,4.1821,4.185,4.1706,4.1746,165810,692702.95,2024-12-28 20:30:00
1735418700000,4.1746,4.184,4.1719,4.1839,170660,713334.205,2024-12-28 20:45:00
1735419600000,4.1839,4.1922,4.1744,4.1826,161280,674579.658,2024-12-28 21:00:00
1735420500000,4.1826,4.1837,4.171,4.1747,80780,337424.294,2024-12-28 21:15:00
1735421400000,4.1747,4.1916,4.173,4.1797,160320,670874.523,2024-12-28 21:30:00
1735422300000,4.1797,4.1995,4.1775,4.1967,299800,1256543.532,2024-12-28 21:45:00
1735423200000,4.1967,4.2051,4.1805,4.1985,332530,1395169.927,2024-12-28 22:00:00
1735424100000,4.1985,4.2183,4.1873,4.209,347170,1460305.39,2024-12-28 22:15:00
1735425000000,4.209,4.2378,4.1978,4.2196,667770,2816743.19,2024-12-28 22:30:00
1735425900000,4.2196,4.2651,4.2195,4.2372,977180,4149210.092,2024-12-28 22:45:00
1735426800000,4.2372,4.2405,4.201,4.2099,1171220,4934787.335,2024-12-28 23:00:00
1735427700000,4.2099,4.2117,4.1873,4.1961,688440,2890063.158,2024-12-28 23:15:00
1735428600000,4.1961,4.2176,4.1862,4.1936,537780,2258920.616,2024-12-28 23:30:00
1735429500000,4.1936,4.22,4.1936,4.2116,252810,1063935.566,2024-12-28 23:45:00
1735430400000,4.2116,4.218,4.182,4.1927,895890,3758296.526,2024-12-29 00:00:00
1735431300000,4.1927,4.1961,4.1758,4.1866,352270,1474334.792,2024-12-29 00:15:00
1735432200000,4.1866,4.2044,4.1751,4.2005,292340,1224843.563,2024-12-29 00:30:00
1735433100000,4.2005,4.2102,4.1883,4.2062,258510,1086006.864,2024-12-29 00:45:00
1735434000000,4.2062,4.2199,4.1981,4.2147,334550,1408446.509,2024-12-29 01:00:00
1735434900000,4.2147,4.2194,4.1923,4.1967,529260,2227015.232,2024-12-29 01:15:00
1735435800000,4.1967,4.2008,4.1739,4.1749,253320,1060014.366,2024-12-29 01:30:00
1735436700000,4.1749,4.1787,4.1628,4.1705,542940,2264109.652,2024-12-29 01:45:00
1735437600000,4.1705,4.1871,4.1703,4.1802,121460,507237.134,2024-12-29 02:00:00
1735438500000,4.1802,4.2022,4.1766,4.1925,313090,1312834.621,2024-12-29 02:15:00
1735439400000,4.1925,4.2117,4.187,4.1974,410130,1721860.665,2024-12-29 02:30:00
1735440300000,4.1974,4.2114,4.1923,4.198,379150,1592399.809,2024-12-29 02:45:00
1735441200000,4.198,4.2029,4.18,4.1875,265350,1111342.911,2024-12-29 03:00:00
1735442100000,4.1875,4.2004,4.18,4.1949,159680,669216.042,2024-12-29 03:15:00
1735443000000,4.1949,4.2021,4.1886,4.1961,112030,470041.494,2024-12-29 03:30:00
1735443900000,4.1961,4.2082,4.1901,4.208,327900,1377573.796,2024-12-29 03:45:00
1735444800000,4.208,4.2137,4.1982,4.2073,200290,842048.52,2024-12-29 04:00:00
1735445700000,4.2073,4.2073,4.195,4.2011,110430,463705.838,2024-12-29 04:15:00
1735446600000,4.2011,4.2055,4.1951,4.1951,141100,592379.633,2024-12-29 04:30:00
1735447500000,4.1951,4.2076,4.1944,4.2028,203830,855932.789,2024-12-29 04:45:00
1735448400000,4.2028,4.2055,4.1868,4.1896,387080,1622672.072,2024-12-29 05:00:00
1735449300000,4.1896,4.2012,4.1864,4.1915,155140,650719.86,2024-12-29 05:15:00
1735450200000,4.1915,4.1936,4.1818,4.1854,239530,1003106.084,2024-12-29 05:30:00
1735451100000,4.1854,4.1958,4.1836,4.1926,139130,582708.661,2024-12-29 05:45:00
1735452000000,4.1926,4.1966,4.1721,4.178,215170,899647.665,2024-12-29 06:00:00
1735452900000,4.178,4.1952,4.1735,4.1928,180560,755147.653,2024-12-29 06:15:00
1735453800000,4.1928,4.22,4.1924,4.2059,426560,1795786.959,2024-12-29 06:30:00
1735454700000,4.2059,4.245,4.2002,4.2397,863650,3650719.243,2024-12-29 06:45:00
1735455600000,4.2397,4.2553,4.2288,4.2435,539400,2288273.539,2024-12-29 07:00:00
1735456500000,4.2435,4.2587,4.2371,4.249,528660,2245630.501,2024-12-29 07:15:00
1735457400000,4.249,4.254,4.2377,4.2512,562440,2388055.997,2024-12-29 07:30:00
1735458300000,4.2512,4.263,4.2396,4.2599,292210,1242855.49,2024-12-29 07:45:00
1735459200000,4.2599,4.2771,4.2423,4.2436,970710,4135870.178,2024-12-29 08:00:00
1735460100000,4.2436,4.2558,4.2374,4.25,474400,2014224.574,2024-12-29 08:15:00
1735461000000,4.25,4.2627,4.2287,4.2305,534050,2263484.532,2024-12-29 08:30:00
1735461900000,4.2305,4.2313,4.2178,4.2255,444720,1878913.764,2024-12-29 08:45:00
1735462800000,4.2255,4.2343,4.2007,4.2108,530240,2231805.171,2024-12-29 09:00:00
1735463700000,4.2108,4.2304,4.202,4.2257,206310,869646.677,2024-12-29 09:15:00
1735464600000,4.2257,4.2442,4.2249,4.2392,514880,2180854.989,2024-12-29 09:30:00
