time_ms,open,high,low,close,volume,turnover,time
1735387200000,4.727,4.736,4.687,4.696,228047.5,1075298.1571,2024-12-28 12:00:00
1735390800000,4.696,4.802,4.693,4.775,725234.3,3457187.1936,2024-12-28 13:00:00
1735394400000,4.775,4.857,4.751,4.767,647988.7,3116124.2405,2024-12-28 14:00:00
1735398000000,4.767,4.824,4.767,4.778,358963.8,1722789.7004,2024-12-28 15:00:00
1735401600000,4.778,4.811,4.758,4.807,230975.4,1106642.6561,2024-12-28 16:00:00
1735405200000,4.807,4.876,4.796,4.86,469104.7,2275688.6493,2024-12-28 17:00:00
1735408800000,4.86,4.874,4.837,4.859,208652.2,1012967.4476,2024-12-28 18:00:00
1735412400000,4.859,4.87,4.831,4.853,259857.4,1259004.7656,2024-12-28 19:00:00
1735416000000,4.853,4.861,4.822,4.854,303904.8,1469503.8564,2024-12-28 20:00:00
1735419600000,4.854,4.92,4.854,4.916,455460.7,2224540.1376,2024-12-28 21:00:00
1735423200000,4.916,4.996,4.9,4.968,432455.2,2138140.8279,2024-12-28 22:00:00
1735426800000,4.968,4.972,4.918,4.923,304731.7,1506414.0551,2024-12-28 23:00:00
1735430400000,4.923,4.941,4.893,4.911,367804.4,1808594.5694,2024-12-29 00:00:00
1735434000000,4.911,4.939,4.883,4.888,143103.2,701736.2621,2024-12-29 01:00:00
1735437600000,4.888,4.929,4.878,4.909,267657.3,1313122.835,2024-12-29 02:00:00
1735441200000,4.909,4.941,4.89,4.939,325618.8,1598619.2838,2024-12-29 03:00:00
1735444800000,4.939,4.957,4.907,4.91,113299.1,558266.4442,2024-12-29 04:00:00
1735448400000,4.91,4.913,4.882,4.889,70984.7,347292.3688,2024-12-29 05:00:00
1735452000000,4.889,4.934,4.857,4.93,430312.3,2101755.0039,2024-12-29 06:00:00
1735455600000,4.93,4.97,4.915,4.967,190978,944018.6297,2024-12-29 07:00:00
1735459200000,4.967,4.967,4.904,4.916,146821.5,724012.7957,2024-12-29 08:00:00
1735462800000,4.916,4.937,4.899,4.929,147172,723818.304,2024-12-29 09:00:00
1735466400000,4.929,4.941,4.912,4.915,194749.5,959596.8604,2024-12-29 10:00:00
1735470000000,4.915,4.925,4.88,4.883,181648,889676.638,2024-12-29 11:00:00
1735473600000,4.883,4.901,4.839,4.849,243276.2,1182920.158,2024-12-29 12:00:00
1735477200000,4.849,4.9,4.83,4.892,235507.7,1145871.8788,2024-12-29 13:00:00
1735480800000,4.892,4.937,4.818,4.842,542892.7,2637974.9009,2024-12-29 14:00:00
1735484400000,4.842,4.861,4.808,4.836,275560.8,1331607.7194,2024-12-29 15:00:00
1735488000000,4.836,4.846,4.767,4.786,627791,3006504.8784,2024-12-29 16:00:00
1735491600000,4.786,4.802,4.758,4.781,209832.7,1001734.876,2024-12-29 17:00:00
1735495200000,4.781,4.782,4.738,4.763,230264.7,1095756.4988,2024-12-29 18:00:00
1735498800000,4.763,4.789,4.76,4.773,132763.3,633975.3096,2024-12-29 19:00:00
1735502400000,4.773,4.773,4.701,4.764,460889.1,2178350.3737,2024-12-29 20:00:00
1735506000000,4.764,4.792,4.736,4.748,279040.4,1329553.5247,2024-12-29 21:00:00
1735509600000,4.748,4.762,4.686,4.726,634413.3,2998336.9187,2024-12-29 22:00:00
1735513200000,4.726,4.767,4.704,4.751,211238.4,999192.1858,2024-12-29 23:00:00
