time_ms,open,high,low,close,volume,turnover,time
1735387200000,13.248,13.3,13.154,13.179,113718.2,1506028.7514,2024-12-28 12:00:00
1735390800000,13.179,13.432,13.165,13.403,110094.7,1467092.7217,2024-12-28 13:00:00
1735394400000,13.403,13.601,13.293,13.344,155171.7,2089728.838,2024-12-28 14:00:00
1735398000000,13.344,13.486,13.261,13.289,83600,1118599.9285,2024-12-28 15:00:00
1735401600000,13.289,13.383,13.2,13.379,144939.8,1924907.5603,2024-12-28 16:00:00
1735405200000,13.379,13.589,13.335,13.408,100520.3,1353705.0847,2024-12-28 17:00:00
1735408800000,13.408,13.446,13.279,13.349,81725.9,1091618.9399,2024-12-28 18:00:00
1735412400000,13.349,13.44,13.335,13.409,31426.3,420775.4,2024-12-28 19:00:00
1735416000000,13.409,13.499,13.389,13.49,40762.2,547964.5196,2024-12-28 20:00:00
1735419600000,13.49,13.602,13.424,13.596,63010.5,851616.4332,2024-12-28 21:00:00
1735423200000,13.596,13.796,13.54,13.754,79118.6,1081613.1687,2024-12-28 22:00:00
1735426800000,13.754,13.754,13.553,13.565,84467.7,1151274.3906,2024-12-28 23:00:00
1735430400000,13.565,13.591,13.454,13.505,90427.5,1222193.3732,2024-12-29 00:00:00
1735434000000,13.505,13.582,13.362,13.378,64795,872007.1069,2024-12-29 01:00:00
1735437600000,13.378,13.52,13.367,13.474,38869.1,522064.13,2024-12-29 02:00:00
1735441200000,13.474,13.489,13.399,13.478,28672.3,385716.415,2024-12-29 03:00:00
1735444800000,13.478,13.497,13.375,13.408,25004.9,335625.6912,2024-12-29 04:00:00
1735448400000,13.408,13.425,13.366,13.384,29850.4,399731.0083,2024-12-29 05:00:00
1735452000000,13.384,13.461,13.303,13.434,52664.1,704201.9473,2024-12-29 06:00:00
1735455600000,13.434,13.501,13.355,13.47,63037.5,847141.674,2024-12-29 07:00:00
1735459200000,13.47,13.508,13.325,13.34,41650.6,557703.3485,2024-12-29 08:00:00
1735462800000,13.34,13.385,13.298,13.381,51595.7,688167.3477,2024-12-29 09:00:00
1735466400000,13.381,13.404,13.334,13.347,24408.2,326419.5153,2024-12-29 10:00:00
1735470000000,13.347,13.381,13.298,13.322,20200.1,269438.7529,2024-12-29 11:00:00
1735473600000,13.322,13.359,13.2,13.216,104012.2,1378139.4531,2024-12-29 12:00:00
1735477200000,13.216,13.37,13.186,13.351,66222.3,880911.8537,2024-12-29 13:00:00
1735480800000,13.351,13.515,13.279,13.358,157514.8,2108038.415,2024-12-29 14:00:00
1735484400000,13.358,13.38,13.224,13.227,93738.4,1245209.5719,2024-12-29 15:00:00
1735488000000,13.227,13.249,13.051,13.112,121641.1,1595782.642,2024-12-29 16:00:00
1735491600000,13.112,13.19,13.059,13.125,52888.7,694798.4343,2024-12-29 17:00:00
1735495200000,13.125,13.154,13.07,13.118,40018.9,524778.0729,2024-12-29 18:00:00
1735498800000,13.118,13.158,13.074,13.102,33582.3,440728.4366,2024-12-29 19:00:00
1735502400000,13.102,13.102,12.957,13.085,73954,964215.5555,2024-12-29 20:00:00
1735506000000,13.085,13.125,12.93,12.972,77980.2,1016752.1513,2024-12-29 21:00:00
1735509600000,12.972,12.997,12.838,12.917,86142.9,1111498.4781,2024-12-29 22:00:00
1735513200000,12.917,13.047,12.872,13,63604,823617.975,2024-12-29 23:00:00
1735516800000,13,13.395,12.971,13.288,175792.4,2328438.3287,2024-12-30 00:00:00
1735520400000,13.288,13.582,13.224,13.462,181713.9,2440809.5801,2024-12-30 01:00:00
1735524000000,13.462,13.531,13.307,13.347,58020.1,775990.7332,2024-12-30 02:00:00
1735527600000,13.347,13.449,13.272,13.285,47092.7,629491.7285,2024-12-30 03:00:00
1735531200000,13.285,13.379,13.194,13.194,36956.9,491386.1179,2024-12-30 04:00:00
1735534800000,13.194,13.313,13.161,13.303,81574,1079161.5742,2024-12-30 05:00:00
1735538400000,13.303,13.468,13.265,13.449,119614.9,1602825.8044,2024-12-30 06:00:00
1735542000000,13.449,13.469,13.334,13.426,54119.5,725028.7968,2024-12-30 07:00:00
1735545600000,13.426,13.541,13.316,13.419,69345.2,931423.2441,2024-12-30 08:00:00
1735549200000,13.419,13.443,13.282,13.404,68653.5,918654.0429,2024-12-30 09:00:00
1735552800000,13.404,13.473,13.348,13.368,94427.5,1265268.2044,2024-12-30 10:00:00
1735556400000,13.368,13.516,13.274,13.475,70783.5,947778.8028,2024-12-30 11:00:00
1735560000000,13.475,13.544,13.317,13.332,84036.4,1129964.254,2024-12-30 12:00:00
1735563600000,13.332,13.376,12.901,12.91,294428.6,3859248.4756,2024-12-30 13:00:00
1735567200000,12.91,13.014,12.729,12.831,190950.7,2457402.5949,2024-12-30 14:00:00
1735570800000,12.831,12.983,12.75,12.893,206075.8,2651065.5657,2024-12-30 15:00:00
1735574400000,12.893,13.061,12.848,12.956,160052.4,2076199.8382,2024-12-30 16:00:00
1735578000000,12.956,13.582,12.931,13.485,258460.1,3445546.9039,2024-12-30 17:00:00
1735581600000,13.485,13.638,13.381,13.551,242134.1,3277316.3444,2024-12-30 18:00:00
1735585200000,13.551,13.579,13.466,13.532,83186.4,1124982.9436,2024-12-30 19:00:00
1735588800000,13.532,13.579,13.381,13.382,136593.4,1838641.9194,2024-12-30 20:00:00
1735592400000,13.382,13.401,13.016,13.06,264692.2,3488372.7195,2024-12-30 21:00:00
1735596000000,13.06,13.379,13.051,13.288,95374.3,1259116.6204,2024-12-30 22:00:00
1735599600000,13.288,13.358,13.218,13.314,46714.1,620282.9736,2024-12-30 23:00:00
1735603200000,13.314,13.351,13.153,13.206,96169,1273501.912,2024-12-31 00:00:00
1735606800000,13.206,13.343,13.112,13.282,88914.4,1174434.5168,2024-12-31 01:00:00
1735610400000,13.282,13.417,13.226,13.242,243705.7,3246617.8579,2024-12-31 02:00:00
1735614000000,13.242,13.286,13.118,13.23,195707.3,2584962.9891,2024-12-31 03:00:00
1735617600000,13.23,13.305,13.147,13.177,52534.6,694500.8304,2024-12-31 04:00:00
1735621200000,13.177,13.279,13.164,13.267,45014.2,595606.6417,2024-12-31 05:00:00
1735624800000,13.267,13.352,13.202,13.338,185588.5,2464825.5026,2024-12-31 06:00:00
1735628400000,13.338,13.413,13.256,13.273,45068.6,601658.4026,2024-12-31 07:00:00
1735632000000,13.273,13.542,13.239,13.372,317056.1,4251303.4871,2024-12-31 08:00:00
1735635600000,13.372,13.535,13.293,13.531,164151.1,2201379.7149,2024-12-31 09:00:00
1735639200000,13.531,13.66,13.438,13.618,151432.6,2053646.253,2024-12-31 10:00:00
1735642800000,13.618,13.698,13.531,13.657,97195.1,1322967.9614,2024-12-31 11:00:00
1735646400000,13.657,13.9,13.567,13.571,303568.8,4175477.3046,2024-12-31 12:00:00
1735650000000,13.571,13.846,13.564,13.711,269855.4,3701540.5974,2024-12-31 13:00:00
1735653600000,13.711,13.896,13.698,13.755,300029.4,4141143.5209,2024-12-31 14:00:00
1735657200000,13.755,13.811,13.58,13.593,209686.7,2871319.2161,2024-12-31 15:00:00
1735660800000,13.593,13.631,13.464,13.557,116782.2,1582902.1873,2024-12-31 16:00:00
1735664400000,13.557,13.559,13.205,13.343,167834.3,2239168.0415,2024-12-31 17:00:00
1735668000000,13.343,13.384,13.295,13.295,58446,779873.6572,2024-12-31 18:00:00
1735671600000,13.295,13.319,13.194,13.211,238285.2,3157456.8168,2024-12-31 19:00:00
1735675200000,13.211,13.559,13.201,13.555,212775.8,2845160.2026,2024-12-31 20:00:00
1735678800000,13.555,13.592,13.416,13.424,59133.6,796981.2058,2024-12-31 21:00:00
1735682400000,13.424,13.425,13.168,13.204,108985.6,1445583.8394,2024-12-31 22:00:00
1735686000000,13.204,13.267,13.174,13.238,32102.1,424471.7861,2024-12-31 23:00:00
1735689600000,13.238,13.385,13.226,13.376,164391,2188053.9457,2025-01-01 00:00:00
1735693200000,13.376,13.378,13.213,13.243,70962.8,942839.4306,2025-01-01 01:00:00
1735696800000,13.243,13.368,13.224,13.32,41862.9,556973.2242,2025-01-01 02:00:00
1735700400000,13.32,13.336,13.209,13.23,51927.9,689009.077,2025-01-01 03:00:00
1735704000000,13.23,13.244,13.172,13.192,35366.2,466969.9282,2025-01-01 04:00:00
1735707600000,13.192,13.469,13.18,13.198,329323.5,4372766.7828,2025-01-01 05:00:00
1735711200000,13.198,13.25,13.131,13.239,67948.5,895681.8197,2025-01-01 06:00:00
1735714800000,13.239,13.276,13.213,13.244,30034.7,397934.8417,2025-01-01 07:00:00
1735718400000,13.244,13.254,13.085,13.114,71482.2,939352.0804,2025-01-01 08:00:00
1735722000000,13.114,13.228,13.034,13.106,202398.7,2659265.3528,2025-01-01 09:00:00
1735725600000,13.106,13.168,13.045,13.087,240651.3,3152686.6858,2025-01-01 10:00:00
1735729200000,13.087,13.247,13.044,13.202,110686.4,1451223.6293,2025-01-01 11:00:00
1735732800000,13.202,13.375,13.2,13.322,100770.3,1338570.9597,2025-01-01 12:00:00
1735736400000,13.322,13.372,13.235,13.331,93042.9,1237182.4706,2025-01-01 13:00:00
