time_ms,open,high,low,close,volume,turnover,time
1735387200000,1.8613,1.867,1.853,1.8578,1850206,3441663.389,2024-12-28 12:00:00
1735390800000,1.8578,1.9102,1.8565,1.8906,6172931,11643635.0399,2024-12-28 13:00:00
1735394400000,1.8906,1.9489,1.8899,1.905,8646994,16597195.7748,2024-12-28 14:00:00
1735398000000,1.905,1.9404,1.8915,1.9023,7502687,14356003.3637,2024-12-28 15:00:00
1735401600000,1.9023,1.9338,1.8939,1.932,4390372,8399841.567,2024-12-28 16:00:00
1735405200000,1.932,1.9751,1.9315,1.9527,4980577,9745020.5304,2024-12-28 17:00:00
1735408800000,1.9527,1.9562,1.9265,1.9276,3303870,6408446.3351,2024-12-28 18:00:00
1735412400000,1.9276,1.9349,1.9083,1.9097,2735071,5253362.3113,2024-12-28 19:00:00
1735416000000,1.9097,1.9154,1.8966,1.9071,1944947,3705942.033,2024-12-28 20:00:00
1735419600000,1.9071,1.9125,1.9,1.9097,1710116,3258775.1318,2024-12-28 21:00:00
1735423200000,1.9097,1.947,1.9066,1.9346,2858619,5499386.2786,2024-12-28 22:00:00
1735426800000,1.9346,1.9406,1.917,1.9254,2284892,4404540.7089,2024-12-28 23:00:00
1735430400000,1.9254,1.9451,1.91,1.9418,2670850,5148195.9295,2024-12-29 00:00:00
1735434000000,1.9418,1.9516,1.911,1.9118,1816640,3507319.2165,2024-12-29 01:00:00
1735437600000,1.9118,1.9317,1.9108,1.9149,1260861,2419526.2077,2024-12-29 02:00:00
1735441200000,1.9149,1.9198,1.9065,1.9151,1444109,2760869.1105,2024-12-29 03:00:00
1735444800000,1.9151,1.9225,1.9015,1.9042,1169101,2233122.4044,2024-12-29 04:00:00
1735448400000,1.9042,1.9073,1.896,1.9014,942045,1790108.4067,2024-12-29 05:00:00
1735452000000,1.9014,1.9276,1.8871,1.9268,2281385,4345860.192,2024-12-29 06:00:00
1735455600000,1.9268,1.9334,1.9096,1.9254,2738027,5254940.6704,2024-12-29 07:00:00
1735459200000,1.9254,1.9339,1.9022,1.9071,2780559,5323756.2031,2024-12-29 08:00:00
1735462800000,1.9071,1.9224,1.9029,1.9137,1584538,3029143.3285,2024-12-29 09:00:00
1735466400000,1.9137,1.9155,1.8971,1.899,1411174,2690816.5006,2024-12-29 10:00:00
1735470000000,1.899,1.9023,1.8867,1.89,2029009,3843149.5189,2024-12-29 11:00:00
1735473600000,1.89,1.8958,1.87,1.8726,3230777,6079204.213,2024-12-29 12:00:00
1735477200000,1.8726,1.8916,1.8677,1.8866,2579009,4850221.4981,2024-12-29 13:00:00
1735480800000,1.8866,1.9035,1.8556,1.8639,4489420,8400191.404,2024-12-29 14:00:00
1735484400000,1.8639,1.8781,1.8542,1.8654,2350157,4382678.8884,2024-12-29 15:00:00
1735488000000,1.8654,1.8685,1.8452,1.8509,2834527,5251179.2418,2024-12-29 16:00:00
1735491600000,1.8509,1.8619,1.8439,1.8534,1240063,2294226.1016,2024-12-29 17:00:00
1735495200000,1.8534,1.8584,1.8389,1.8524,1755967,3245103.3855,2024-12-29 18:00:00
1735498800000,1.8524,1.8592,1.8467,1.8566,997579,1849176.9909,2024-12-29 19:00:00
1735502400000,1.8566,1.8566,1.8308,1.8473,2290271,4215126.1149,2024-12-29 20:00:00
1735506000000,1.8473,1.8527,1.8312,1.8361,1449121,2669689.7796,2024-12-29 21:00:00
1735509600000,1.8361,1.8396,1.815,1.826,2489941,4548922.163,2024-12-29 22:00:00
1735513200000,1.826,1.8407,1.8179,1.8337,1576300,2882102.1614,2024-12-29 23:00:00
1735516800000,1.8337,1.8571,1.823,1.8432,2181374,4014350.0591,2024-12-30 00:00:00
