time_ms,open,high,low,close,volume,turnover,time
1735384500000,2.1633,2.168,2.1627,2.1672,1213556,2627658.0711,2024-12-28 11:15:00
1735385400000,2.1672,2.1699,2.164,2.1683,4783062,10368813.8173,2024-12-28 11:30:00
1735386300000,2.1683,2.1708,2.1642,2.1695,4579555,9926228.6579,2024-12-28 11:45:00
1735387200000,2.1695,2.1709,2.1654,2.1682,2945775,6389282.7796,2024-12-28 12:00:00
1735388100000,2.1682,2.1695,2.1603,2.1607,2690860,5822003.8389,2024-12-28 12:15:00
1735389000000,2.1607,2.1674,2.1606,2.1635,1636355,3540792.9309,2024-12-28 12:30:00
1735389900000,2.1635,2.1639,2.1585,2.1605,2432161,5255371.1325,2024-12-28 12:45:00
1735390800000,2.1605,2.1687,2.1598,2.168,1720601,3725161.532,2024-12-28 13:00:00
1735391700000,2.168,2.1706,2.1651,2.169,3281284,7115372.7508,2024-12-28 13:15:00
1735392600000,2.169,2.1705,2.1634,2.1637,3664981,7944789.8408,2024-12-28 13:30:00
1735393500000,2.1637,2.169,2.1601,2.1672,2273092,4919990.2057,2024-12-28 13:45:00
1735394400000,2.1672,2.1868,2.1666,2.1852,7467460,16235512.7684,2024-12-28 14:00:00
1735395300000,2.1852,2.1944,2.1811,2.1814,9203132,20142926.4893,2024-12-28 14:15:00
1735396200000,2.1814,2.185,2.1674,2.1692,5218176,11353329.3309,2024-12-28 14:30:00
1735397100000,2.1692,2.1748,2.1633,2.1715,3921586,8501294.1942,2024-12-28 14:45:00
1735398000000,2.1715,2.182,2.1713,2.1764,5335580,11611663.3401,2024-12-28 15:00:00
1735398900000,2.1764,2.1849,2.1729,2.1819,3301006,7196656.4079,2024-12-28 15:15:00
1735399800000,2.1819,2.1848,2.1761,2.1794,2424732,5284905.1682,2024-12-28 15:30:00
1735400700000,2.1794,2.1812,2.1682,2.1718,3163501,6875165.1852,2024-12-28 15:45:00
1735401600000,2.1718,2.1783,2.1704,2.1733,2312750,5030202.1519,2024-12-28 16:00:00
1735402500000,2.1733,2.183,2.1721,2.1811,4217946,9191321.3313,2024-12-28 16:15:00
1735403400000,2.1811,2.187,2.1791,2.1844,3414036,7456459.7051,2024-12-28 16:30:00
1735404300000,2.1844,2.1926,2.1834,2.1884,3193679,6990883.3488,2024-12-28 16:45:00
1735405200000,2.1884,2.194,2.1839,2.191,3586876,7855357.6858,2024-12-28 17:00:00
1735406100000,2.191,2.2038,2.1901,2.1995,6396787,14055206.256,2024-12-28 17:15:00
1735407000000,2.1995,2.203,2.1915,2.1927,2867053,6296963.5769,2024-12-28 17:30:00
1735407900000,2.1927,2.1985,2.1912,2.1926,2101417,4611507.2211,2024-12-28 17:45:00
1735408800000,2.1926,2.1943,2.1819,2.1863,4532131,9911351.7746,2024-12-28 18:00:00
1735409700000,2.1863,2.1941,2.1851,2.1922,3573081,7824244.9749,2024-12-28 18:15:00
1735410600000,2.1922,2.1931,2.1825,2.1843,2149887,4701229.5551,2024-12-28 18:30:00
1735411500000,2.1843,2.1894,2.1823,2.1864,1287359,2814877.157,2024-12-28 18:45:00
1735412400000,2.1864,2.1924,2.1862,2.1905,1818088,3980558.5662,2024-12-28 19:00:00
1735413300000,2.1905,2.192,2.1881,2.19,931005,2038682.3004,2024-12-28 19:15:00
1735414200000,2.19,2.1991,2.1894,2.1929,4937776,10841344.8294,2024-12-28 19:30:00
1735415100000,2.1929,2.1941,2.1883,2.1889,1475838,3234029.0802,2024-12-28 19:45:00
1735416000000,2.1889,2.1915,2.1841,2.1877,1972601,4312870.239,2024-12-28 20:00:00
1735416900000,2.1877,2.1899,2.1848,2.1853,1004352,2196802.0613,2024-12-28 20:15:00
1735417800000,2.1853,2.19,2.1847,2.1882,963923,2109175.5991,2024-12-28 20:30:00
1735418700000,2.1882,2.1933,2.1879,2.1924,1128725,2473179.4553,2024-12-28 20:45:00
1735419600000,2.1924,2.1934,2.1872,2.1894,1126840,2468049.2309,2024-12-28 21:00:00
1735420500000,2.1894,2.1904,2.1859,2.1875,531299,1162594.935,2024-12-28 21:15:00
1735421400000,2.1875,2.1941,2.187,2.1935,1804286,3954467.7393,2024-12-28 21:30:00
1735422300000,2.1935,2.1997,2.1922,2.1983,2734262,6004189.0621,2024-12-28 21:45:00
1735423200000,2.1983,2.2026,2.1961,2.2002,2228000,4898680.3989,2024-12-28 22:00:00
1735424100000,2.2002,2.2054,2.1976,2.2009,3228784,7109168.7097,2024-12-28 22:15:00
1735425000000,2.2009,2.2009,2.1928,2.1936,1687314,3705334.4958,2024-12-28 22:30:00
1735425900000,2.1936,2.2082,2.1919,2.197,2458754,5411349.2946,2024-12-28 22:45:00
1735426800000,2.197,2.1979,2.1881,2.1904,2654974,5818873.1866,2024-12-28 23:00:00
1735427700000,2.1904,2.1911,2.1828,2.1873,1972824,4313728.1028,2024-12-28 23:15:00
1735428600000,2.1873,2.1925,2.179,2.1801,3074017,6715303.969,2024-12-28 23:30:00
1735429500000,2.1801,2.1849,2.1796,2.1834,1988805,4341432.0311,2024-12-28 23:45:00
1735430400000,2.1834,2.185,2.1747,2.1809,3553495,7743846.1758,2024-12-29 00:00:00
1735431300000,2.1809,2.1874,2.1781,2.1827,2328233,5081135.5353,2024-12-29 00:15:00
1735432200000,2.1827,2.1877,2.1802,2.1855,1229436,2684412.5734,2024-12-29 00:30:00
1735433100000,2.1855,2.186,2.1766,2.1813,1822539,3974234.06,2024-12-29 00:45:00
1735434000000,2.1813,2.1851,2.1744,2.175,2023417,4409268.1693,2024-12-29 01:00:00
1735434900000,2.175,2.178,2.17,2.1774,3000702,6521587.799,2024-12-29 01:15:00
1735435800000,2.1774,2.1782,2.1724,2.1726,1524360,3315399.7518,2024-12-29 01:30:00
1735436700000,2.1726,2.1743,2.1679,2.1716,1498327,3252963.4083,2024-12-29 01:45:00
1735437600000,2.1716,2.1774,2.1713,2.1757,1089685,2369581.9496,2024-12-29 02:00:00
1735438500000,2.1757,2.1773,2.1731,2.1758,785969,1709813.2671,2024-12-29 02:15:00
1735439400000,2.1758,2.1828,2.1751,2.1806,1411233,3075954.0697,2024-12-29 02:30:00
1735440300000,2.1806,2.1841,2.1804,2.1822,1639878,3579567.5989,2024-12-29 02:45:00
1735441200000,2.1822,2.1833,2.1758,2.1802,1671006,3640555.7943,2024-12-29 03:00:00
1735442100000,2.1802,2.1854,2.1793,2.1832,1616796,3528052.197,2024-12-29 03:15:00
1735443000000,2.1832,2.1875,2.1827,2.1864,1661323,3631197.1052,2024-12-29 03:30:00
1735443900000,2.1864,2.1889,2.1836,2.1866,1179457,2579081.7255,2024-12-29 03:45:00
1735444800000,2.1866,2.1887,2.181,2.1831,972719,2123998.1998,2024-12-29 04:00:00
1735445700000,2.1831,2.1859,2.1785,2.1798,1305539,2848581.6298,2024-12-29 04:15:00
1735446600000,2.1798,2.1824,2.1767,2.1783,1415214,3083501.89,2024-12-29 04:30:00
1735447500000,2.1783,2.1816,2.1775,2.1806,497283,1084122.5468,2024-12-29 04:45:00
1735448400000,2.1806,2.1829,2.1756,2.1792,1538440,3353277.7662,2024-12-29 05:00:00
1735449300000,2.1792,2.1843,2.1775,2.182,870027,1898248.8417,2024-12-29 05:15:00
1735450200000,2.182,2.1846,2.1797,2.1837,1066304,2327995.5169,2024-12-29 05:30:00
1735451100000,2.1837,2.1856,2.1823,2.1832,606020,1323492.761,2024-12-29 05:45:00
1735452000000,2.1832,2.1836,2.1763,2.1777,1700656,3705389.9431,2024-12-29 06:00:00
1735452900000,2.1777,2.1815,2.1757,2.1812,894094,1947246.0082,2024-12-29 06:15:00
1735453800000,2.1812,2.1839,2.1798,2.1824,1459435,3184085.9813,2024-12-29 06:30:00
1735454700000,2.1824,2.1884,2.1817,2.1864,1652357,3611583.4879,2024-12-29 06:45:00
1735455600000,2.1864,2.1915,2.1847,2.186,2690007,5886327.8871,2024-12-29 07:00:00
1735456500000,2.186,2.1891,2.1842,2.1854,670883,1467041.6524,2024-12-29 07:15:00
1735457400000,2.1854,2.1893,2.183,2.1886,843718,1843926.0875,2024-12-29 07:30:00
1735458300000,2.1886,2.1974,2.1884,2.1958,2470785,5419727.3301,2024-12-29 07:45:00
1735459200000,2.1958,2.1969,2.1887,2.1899,1513546,3318088.9013,2024-12-29 08:00:00
1735460100000,2.1899,2.192,2.1867,2.1889,1005635,2201373.0617,2024-12-29 08:15:00
1735461000000,2.1889,2.1897,2.1837,2.1845,1381292,3019415.3866,2024-12-29 08:30:00
1735461900000,2.1845,2.1863,2.183,2.1832,1424410,3111363.5061,2024-12-29 08:45:00
1735462800000,2.1832,2.1859,2.178,2.1782,1879981,4098911.9075,2024-12-29 09:00:00
1735463700000,2.1782,2.1835,2.1763,2.183,1656004,3608842.4641,2024-12-29 09:15:00
1735464600000,2.183,2.1878,2.1794,2.182,1743088,3806441.2702,2024-12-29 09:30:00
1735465500000,2.182,2.187,2.18,2.1856,1327629,2899795.408,2024-12-29 09:45:00
1735466400000,2.1856,2.1899,2.1832,2.1883,2127327,4653694.8342,2024-12-29 10:00:00
1735467300000,2.1883,2.1893,2.1854,2.186,830465,1816613.366,2024-12-29 10:15:00
1735468200000,2.186,2.1895,2.1854,2.1891,813407,1779358.3048,2024-12-29 10:30:00
1735469100000,2.1891,2.19,2.1832,2.1835,1031928,2255709.4829,2024-12-29 10:45:00
1735470000000,2.1835,2.1859,2.1805,2.1807,1821868,3975777.5902,2024-12-29 11:00:00
1735470900000,2.1807,2.1814,2.1774,2.1792,2424262,5282763.2362,2024-12-29 11:15:00
1735471800000,2.1792,2.1841,2.179,2.1815,1386282,3024147.5333,2024-12-29 11:30:00
1735472700000,2.1815,2.1822,2.1736,2.1764,2534275,5516313.5077,2024-12-29 11:45:00
1735473600000,2.1764,2.1791,2.1725,2.1788,1876167,4083598.2345,2024-12-29 12:00:00
1735474500000,2.1788,2.1811,2.1712,2.1714,1782462,3877835.4276,2024-12-29 12:15:00
1735475400000,2.1714,2.1725,2.1667,2.1708,4074767,8839338.717,2024-12-29 12:30:00
1735476300000,2.1708,2.1743,2.1703,2.1713,1715391,3726268.7931,2024-12-29 12:45:00
1735477200000,2.1713,2.1756,2.1674,2.1752,2064536,4483992.7953,2024-12-29 13:00:00
1735478100000,2.1752,2.1789,2.1708,2.1709,1470891,3200336.3165,2024-12-29 13:15:00
1735479000000,2.1709,2.1739,2.167,2.1711,2140574,4646821.5069,2024-12-29 13:30:00
1735479900000,2.1711,2.177,2.1705,2.1748,1588181,3454514.1363,2024-12-29 13:45:00
1735480800000,2.1748,2.1859,2.1736,2.1783,3091933,6743477.8202,2024-12-29 14:00:00
1735481700000,2.1783,2.1788,2.1608,2.1644,6470132,14020881.214,2024-12-29 14:15:00
1735482600000,2.1644,2.1645,2.1471,2.1534,13782079,29681105.3831,2024-12-29 14:30:00
1735483500000,2.1534,2.165,2.149,2.1619,4805996,10378372.096,2024-12-29 14:45:00
1735484400000,2.1619,2.166,2.1543,2.1578,3744444,8081280.4152,2024-12-29 15:00:00
1735485300000,2.1578,2.1667,2.1573,2.1659,1440999,3115921.1085,2024-12-29 15:15:00
1735486200000,2.1659,2.171,2.1622,2.1647,2052167,4444897.4206,2024-12-29 15:30:00
1735487100000,2.1647,2.1693,2.161,2.1638,1844498,3996219.6913,2024-12-29 15:45:00
1735488000000,2.1638,2.1654,2.15,2.1509,5484297,11828970.552,2024-12-29 16:00:00
1735488900000,2.1509,2.1531,2.142,2.1456,8509868,18263451.0865,2024-12-29 16:15:00
1735489800000,2.1456,2.1503,2.1401,2.148,3994279,8565608.0834,2024-12-29 16:30:00
1735490700000,2.148,2.1513,2.1438,2.1474,2666041,5723995.1361,2024-12-29 16:45:00
1735491600000,2.1474,2.1511,2.1363,2.1496,4579492,9814447.6869,2024-12-29 17:00:00
1735492500000,2.1496,2.151,2.1403,2.1443,1760959,3776939.9002,2024-12-29 17:15:00
1735493400000,2.1443,2.1499,2.1427,2.1482,801702,1720906.1147,2024-12-29 17:30:00
1735494300000,2.1482,2.149,2.1433,2.1459,1929566,4140016.5452,2024-12-29 17:45:00
1735495200000,2.1459,2.1465,2.14,2.1465,1255439,2690833.4041,2024-12-29 18:00:00
1735496100000,2.1465,2.1496,2.1424,2.1426,1131109,2427473.0052,2024-12-29 18:15:00
1735497000000,2.1426,2.144,2.134,2.1432,3192151,6827255.5777,2024-12-29 18:30:00
1735497900000,2.1432,2.1479,2.1405,2.1423,2318305,4968308.2428,2024-12-29 18:45:00
1735498800000,2.1423,2.1464,2.141,2.1426,1950518,4181706.6544,2024-12-29 19:00:00
1735499700000,2.1426,2.1464,2.1414,2.1436,1122568,2406559.8887,2024-12-29 19:15:00
1735500600000,2.1436,2.145,2.1375,2.1387,1773986,3797147.5066,2024-12-29 19:30:00
1735501500000,2.1387,2.144,2.1384,2.1422,1018736,2181700.131,2024-12-29 19:45:00
1735502400000,2.1422,2.1422,2.125,2.1312,5956309,12695160.9725,2024-12-29 20:00:00
1735503300000,2.1312,2.1313,2.1158,2.1243,6857846,14548833.5342,2024-12-29 20:15:00
1735504200000,2.1243,2.1252,2.1151,2.1246,2877607,6100946.7783,2024-12-29 20:30:00
1735505100000,2.1246,2.1364,2.1243,2.1345,2975987,6340397.1761,2024-12-29 20:45:00
1735506000000,2.1345,2.1392,2.1276,2.1312,3292861,7026026.3398,2024-12-29 21:00:00
1735506900000,2.1312,2.1327,2.1257,2.1287,1454872,3096436.1702,2024-12-29 21:15:00
1735507800000,2.1287,2.1333,2.1219,2.1231,3144445,6684920.4199,2024-12-29 21:30:00
1735508700000,2.1231,2.1231,2.1037,2.1088,14945746,31547978.8721,2024-12-29 21:45:00
1735509600000,2.1088,2.1117,2.074,2.0813,16077201,33610209.9707,2024-12-29 22:00:00
1735510500000,2.0813,2.0948,2.0682,2.0948,9923818,20614197.3446,2024-12-29 22:15:00
1735511400000,2.0948,2.1062,2.0896,2.103,10739763,22543800.3925,2024-12-29 22:30:00
1735512300000,2.103,2.1041,2.08,2.0895,7718000,16131230.9368,2024-12-29 22:45:00
1735513200000,2.0895,2.0942,2.08,2.0804,4374270,9130654.7349,2024-12-29 23:00:00
1735514100000,2.0804,2.0929,2.079,2.0907,4571975,9531893.4615,2024-12-29 23:15:00
1735515000000,2.0907,2.0964,2.0884,2.0941,4503244,9424467.8293,2024-12-29 23:30:00
1735515900000,2.0941,2.101,2.0907,2.0928,4141610,8684423.0415,2024-12-29 23:45:00
1735516800000,2.0928,2.1036,2.0831,2.102,5435451,11377360.0237,2024-12-30 00:00:00
1735517700000,2.102,2.1115,2.0992,2.1042,4523205,9522863.0458,2024-12-30 00:15:00
1735518600000,2.1042,2.1069,2.0934,2.0943,3056921,6417089.1546,2024-12-30 00:30:00
1735519500000,2.0943,2.1108,2.0943,2.1042,3059584,6437854.2583,2024-12-30 00:45:00
1735520400000,2.1042,2.1132,2.097,2.0978,4099489,8627847.0313,2024-12-30 01:00:00
1735521300000,2.0978,2.13,2.0975,2.1297,7513830,15918200.0286,2024-12-30 01:15:00
1735522200000,2.1297,2.1508,2.1255,2.1325,14433363,30874697.8632,2024-12-30 01:30:00
1735523100000,2.1325,2.1325,2.1208,2.1246,5718855,12157534.4243,2024-12-30 01:45:00
1735524000000,2.1246,2.13,2.1094,2.1107,4035123,8544159.3099,2024-12-30 02:00:00
1735524900000,2.1107,2.1155,2.1052,2.1107,4179798,8815244.4791,2024-12-30 02:15:00
